k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm
0,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.7563199375093,32950.25279750037,2.798133179009428,0.726988529978955,8.881784197001252e-16,274.89697129598034,0.0
1,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.6238398946989,32944.953595787956,2.7934778640982114,0.7212388706444605,8.881784197001252e-16,274.89145351014764,0.0
2,2.0816681711721685e-17,1.0934428697813141e-15,1.3601095770882444e-15,True,False,stacked_exact,False,826.0874569611522,33043.49827844609,2.7804965447355126,0.7092728120647576,1.0934428697813141e-15,272.02733794400734,0.0
3,3.469446951953614e-17,1.4988010832439613e-15,1.6083230049283077e-15,True,False,stacked_exact,False,830.3012827931034,33212.051311724135,2.756920461093994,0.6911700660856779,1.5543122344752192e-15,266.8288960757,0.0
4,1.7764788079573408e-15,6.280369834735101e-16,2.564448890187439e-15,True,False,stacked_exact,False,834.8452324344848,33393.80929737938,2.7216846112429054,0.6677034066969425,6.280369834735101e-16,260.04369383764197,0.0
5,2.6020852139652106e-16,4.577566798522237e-16,5.812117570739769e-16,True,False,stacked_exact,False,838.3287767606573,33533.15107042629,2.674638507683979,0.6401373705045438,4.577566798522237e-16,252.20565236797307,0.0
6,1.0061396160665481e-16,8.005932084973442e-16,8.370387769180647e-16,True,False,stacked_exact,False,839.6675250253402,33586.7010010136,2.6163699794074757,0.6101920974449695,8.005932084973442e-16,243.59407826150309,0.0
7,1.1796119636642288e-16,2.0471501066083613e-15,2.127826154715157e-15,True,False,stacked_exact,False,838.135399622864,33525.41598491456,2.5480599638257133,0.5800191112017881,2.0471501066083613e-15,234.35109589690484,0.0
8,1.1796119636642288e-16,2.220446049250313e-15,2.2505223607745763e-15,True,False,stacked_exact,False,833.338846762377,33333.553870495074,2.471355470517414,0.5521509048802127,2.220446049250313e-15,224.57819876814173,0.0
9,1.778148257812795e-15,1.3322676295501878e-15,1.6091466641057303e-15,True,False,stacked_exact,False,825.1640309770373,33006.56123908149,2.388253938106693,0.5293693755664028,1.3322676295501878e-15,214.38615652379204,0.0
10,2.42861286636753e-17,8.005932084973442e-16,8.619994562854569e-16,True,False,stacked_exact,False,813.7161442038816,32548.645768155264,2.300993041829644,0.5144238289271841,8.005932084973442e-16,203.91277640796736,0.0
11,1.1449174941446927e-16,4.440892098500626e-16,5.160608313452199e-16,True,False,stacked_exact,False,799.2620039401125,31970.480157604503,2.2119466295052104,0.5095778578559951,4.440892098500626e-16,193.3211196058232,0.0
12,3.469446951953614e-17,2.220446049250313e-15,2.2844542190042555e-15,True,False,stacked_exact,False,782.1748048553749,31286.992194214996,2.1235193831022925,0.5161054773252283,2.220446049250313e-15,182.79445565041155,0.0
13,4.163336342344337e-17,8.881784197001252e-16,9.3746266595271e-16,True,False,stacked_exact,False,762.896457939902,30515.85831759608,2.0380389712794194,0.5339905676161965,8.881784197001252e-16,172.51934437465403,0.0
14,2.42861286636753e-16,2.7012892057857038e-15,2.735767724662918e-15,True,False,stacked_exact,False,741.8988605814204,29675.95442325681,1.9576502972305525,0.5620289574448624,2.7012892057857038e-15,162.6773419514335,0.0
15,3.469446951953614e-17,4.440892098500626e-16,6.223606846343278e-16,True,False,stacked_exact,False,719.6573401366916,28786.29360546766,1.884209772449234,0.5982558784101607,4.440892098500626e-16,153.43306989188113,0.0
16,7.28583859910259e-17,4.440892098500626e-16,5.407610917332119e-16,True,False,stacked_exact,False,696.6286000281884,27865.144001127537,1.8191887082064746,0.640442755808642,4.440892098500626e-16,144.92596568730144,0.0
17,4.440892098500626e-16,0.0,8.876983704298679e-16,True,False,stacked_exact,False,673.2358628872978,26929.43451549191,1.763594200326852,0.68645832011712,0.0,137.26308364378554,0.0
18,1.0408340855860843e-17,4.965068306494546e-16,5.198935459335759e-16,True,False,stacked_exact,False,649.8586193302962,25994.344773211844,1.7179200851177179,0.7344490333364821,4.440892098500626e-16,130.51459873629022,0.0
19,7.28583859910259e-17,4.440892098500626e-16,4.757365683963647e-16,True,False,stacked_exact,False,626.8258871200994,25073.035484803975,1.6821397597611456,0.7828891053416819,4.440892098500626e-16,124.7125213783567,0.0
20,1.457167719820518e-16,4.440892098500626e-16,6.241339604018505e-16,True,False,stacked_exact,False,604.4125650774706,24176.502603098823,1.6557465662030986,0.8305631681550862,4.440892098500626e-16,119.8525759733472,0.0
21,3.469446951953614e-17,8.881784197001252e-16,9.14106845267509e-16,True,False,stacked_exact,False,582.8392805165031,23313.571220660124,1.6378392025381028,0.8765270525160573,8.881784197001252e-16,115.89892623353474,0.0
22,4.5102810375396984e-17,1.3322676295501878e-15,1.3553369242314876e-15,True,False,stacked_exact,False,562.2754095704067,22491.016382816266,1.6272340161604806,0.9200614279587184,1.3322676295501878e-15,112.79008292621239,0.0
23,6.938893903907228e-18,2.220446049250313e-16,2.4143970871071186e-16,True,False,stacked_exact,False,542.8424694150336,21713.69877660134,1.6225889076574926,0.9606312920076648,0.0,110.44734776049171,0.0
24,4.518280359883027e-16,4.440892098500626e-16,6.38638612654077e-16,True,False,stacked_exact,False,524.6191045553334,20984.76418221333,1.622519361867679,0.997852662333823,4.440892098500626e-16,108.78288327232173,0.0
25,2.0816681711721685e-17,0.0,1.2298404182125337e-16,True,False,stacked_exact,False,507.6466380767852,20305.86552307141,1.6256912147783837,1.0314634872926949,0.0,107.70648700100395,0.0
26,2.7755575615628914e-17,2.220446049250313e-16,3.453374302168204e-16,True,False,stacked_exact,False,491.9345593987965,19677.38237595186,1.6308906323122854,1.0613049742278426,0.0,107.13132496114719,0.0
27,1.5439038936193583e-16,0.0,3.6419496165265734e-16,True,False,stacked_exact,False,477.46710201235527,19098.68408049421,1.6370582866953987,1.0872979468668724,0.0,106.97595654863082,0.0
28,8.847089727481716e-17,8.881784197001252e-16,9.247901619263853e-16,True,False,stacked_exact,False,464.20654162448886,18568.261664979556,1.6433117273091042,1.1094331540785123,8.881784197001252e-16,107.1677319361021,0.0
29,8.897017726212005e-16,4.965068306494546e-16,8.586860161419285e-16,True,False,stacked_exact,False,452.0997550284715,18083.990201138855,1.648943110555131,1.1277569766924191,4.440892098500626e-16,107.6412228310343,0.0
