event_kind,event_anchor,k,y_sp,dhat_k,us_exact,us_bounded,solve_mode,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_residual_norm,dhat_delta_inf
setpoint_change,400,395,"[2.751989057031519, 0.5060686884724044]","[2.734278697041064, 0.4927409840276676]","[3.922154779746593, 3.1078639935807186]","[3.922154779746593, 3.1078639935807186]",exact_bounded,4.0657581468206416e-19,6.938893903907228e-18,0.0,8.302241684354783e-06
setpoint_change,400,396,"[2.751989057031519, 0.5060686884724044]","[2.734286792958876, 0.49273607487346477]","[3.9198017859773358, 3.106663850994892]","[3.9198017859773358, 3.106663850994892]",exact_bounded,1.3877787807814457e-17,0.0,0.0,8.09591781170127e-06
setpoint_change,400,397,"[2.751989057031519, 0.5060686884724044]","[2.734294692821105, 0.4927316323966755]","[3.917523478982451, 3.1054857994751828]","[3.917523478982451, 3.1054857994751828]",exact_bounded,3.2526065174565133e-19,0.0,0.0,7.899862229265864e-06
setpoint_change,400,398,"[2.751989057031519, 0.5060686884724044]","[2.734302409234138, 0.49272714110179433]","[3.9152903415118385, 3.104338151241785]","[3.9152903415118385, 3.104338151241785]",exact_bounded,1.3877787807814457e-17,6.938893903907228e-18,0.0,7.716413032987646e-06
setpoint_change,400,399,"[2.751989057031519, 0.5060686884724044]","[2.734309951382156, 0.49272252554983564]","[3.91309614739009, 3.103220945524038]","[3.91309614739009, 3.103220945524038]",exact_bounded,1.3877787807814457e-17,3.469446951953614e-18,0.0,7.5421480176807165e-06
setpoint_change,400,400,"[-2.210727904737378, -3.3325198391259487]","[2.734317324273982, 0.492718056354574]","[-1089.8452211447868, -869.8535579371089]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,6.938893903907228e-18,5.773159728050814e-15,6.08220358692818,7.372891826396e-06
setpoint_change,400,401,"[-2.210727904737378, -3.3325198391259487]","[2.734324530127766, 0.49271355490575847]","[-1089.8473221708475, -869.8546234898365]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,1.457167719820518e-16,3.1086244689504383e-15,6.082206794581445,7.205853783887051e-06
setpoint_change,400,402,"[-2.210727904737378, -3.3325198391259487]","[2.7331276595948677, 0.29419366698910754]","[-1099.6425203868346, -865.6828817938567]","[9.959999998965557, -7.4999999999775175]",exact_unbounded_fallback_bounded_ls,2.42861286636753e-16,1.7763568394002505e-15,5.967189533311748,0.19851988791665093
setpoint_change,400,403,"[-2.210727904737378, -3.3325198391259487]","[2.727202086941005, -0.07023804381828491]","[-1116.655462233268, -857.4266051410756]","[9.959999999999997, -7.499999999999999]",exact_unbounded_fallback_bounded_ls,3.469446951953614e-17,2.6645352591003757e-15,5.764689524443119,0.36443171080739245
setpoint_change,400,404,"[-2.210727904737378, -3.3325198391259487]","[2.711472621603974, -0.5414287383277212]","[-1136.5564511320817, -845.4575991787661]","[9.959999999999862, -7.499999999999989]",exact_unbounded_fallback_bounded_ls,2.220446049250313e-16,2.6645352591003757e-15,5.520376490633976,0.4711906945094363
setpoint_change,400,405,"[-2.210727904737378, -3.3325198391259487]","[2.680922149695883, -1.0752317072965423]","[-1155.7947985743733, -829.8561539738097]","[9.959999999999944, -7.499999999999997]",exact_unbounded_fallback_bounded_ls,2.0122792321330962e-16,1.3322676295501878e-15,5.2691369866139075,0.5338029689688211
setpoint_change,800,795,"[-2.210727904737378, -3.3325198391259487]","[-2.20003494136013, -3.2694727805924235]","[0.43183678225794975, -2.979031511751712]","[0.43183678225794975, -2.979031511751712]",exact_bounded,1.3877787807814457e-17,3.469446951953614e-18,0.0,1.4291783504649658e-05
setpoint_change,800,796,"[-2.210727904737378, -3.3325198391259487]","[-2.2000488743812867, -3.269465516428472]","[0.43582597146251423, -2.9769423292103543]","[0.43582597146251423, -2.9769423292103543]",exact_bounded,1.1858461261560205e-20,0.0,0.0,1.3933021156820047e-05
setpoint_change,800,797,"[-2.210727904737378, -3.3325198391259487]","[-2.2000624588742648, -3.269458479926916]","[0.4397130335912512, -2.9749044853969986]","[0.4397130335912512, -2.9749044853969986]",exact_bounded,6.945670167485263e-20,0.0,0.0,1.3584492978058194e-05
setpoint_change,800,798,"[-2.210727904737378, -3.3325198391259487]","[-2.200075704646711, -3.269451657393961]","[0.44350121349731064, -2.9729166817210166]","[0.44350121349731064, -2.9729166817210166]",exact_bounded,4.336808689942018e-19,0.0,0.0,1.3245772446435211e-05
setpoint_change,800,799,"[-2.210727904737378, -3.3325198391259487]","[-2.200088621156523, -3.2694450842829106]","[0.4471911632332756, -2.9709766904287767]","[0.4471911632332756, -2.9709766904287767]",exact_bounded,1.0164395367051604e-20,0.0,0.0,1.2916509811944366e-05
setpoint_change,800,800,"[2.751989057031519, 0.5060686884724044]","[-2.2001012178086436, -3.26943877264521]","[1094.2069592288947, 869.9866031295826]","[-9.999999999999998, 7.3]",exact_unbounded_fallback_bounded_ls,3.552713678800501e-15,1.7763568394002505e-15,6.061612759967015,1.2596652120500096e-05
setpoint_change,800,801,"[2.751989057031519, 0.5060686884724044]","[-2.200113504000568, -3.2694326832873144]","[1094.2104608139653, 869.9884517179488]","[-9.999999999999998, 7.3]",exact_unbounded_fallback_bounded_ls,5.551115123125783e-17,3.9968028886505635e-15,6.061619241507936,1.2286191924282264e-05
setpoint_change,800,802,"[2.751989057031519, 0.5060686884724044]","[-2.198909769418129, -2.973929400839224]","[1108.9410380226154, 863.8713636033467]","[-9.999999999999712, 7.299999999999885]",exact_unbounded_fallback_bounded_ls,1.0408340855860843e-16,1.7763568394002505e-15,5.894234958630581,0.2955032824480903
setpoint_change,800,803,"[2.751989057031519, 0.5060686884724044]","[-2.1927178935250917, -2.4444355421361035]","[1134.287669206312, 852.2633390344032]","[-9.999999999997511, 7.299999999999715]",exact_unbounded_fallback_bounded_ls,2.498001805406602e-16,8.881784197001252e-16,5.617220183852948,0.5294938587031206
setpoint_change,800,804,"[2.751989057031519, 0.5060686884724044]","[-2.1755730262216715, -1.7831946537235255]","[1163.4959190696834, 836.2573333303542]","[-9.999999999999599, 7.3]",exact_unbounded_fallback_bounded_ls,2.2898349882893854e-16,1.3322676295501878e-15,5.316553767470306,0.661240888412578
setpoint_change,800,805,"[2.751989057031519, 0.5060686884724044]","[-2.140707411377581, -1.0681867752416907]","[1190.8379703301785, 816.3311030828719]","[-9.999999999995573, 7.299999999999842]",exact_unbounded_fallback_bounded_ls,3.191891195797325e-16,8.881784197001252e-16,5.053325312528984,0.7150078784818348
setpoint_change,1200,1195,"[2.751989057031519, 0.5060686884724044]","[2.7343183569445717, 0.4927050895851878]","[3.9100250110252466, 3.10222226447526]","[3.9100250110252466, 3.10222226447526]",exact_bounded,1.1655173354219173e-18,6.938893903907228e-18,0.0,7.684857341594409e-06
setpoint_change,1200,1196,"[2.751989057031519, 0.5060686884724044]","[2.7343258557819046, 0.49270077356137754]","[3.907857315916422, 3.101106000941917]","[3.907857315916422, 3.101106000941917]",exact_bounded,1.3552527156068805e-19,0.0,0.0,7.498837332864383e-06
