k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm
0,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.7563199375093,32950.25279750037,2.798133179009428,0.726988529978955,8.881784197001252e-16,274.89697129598034,0.0,2.798133179009428,823.8889013223562,274.89697129598034,1.2212453270876722e-15,True,False,679.1634624453686,9.367506770274758e-17,8.881784197001252e-16,True,2.7483447840096713,exact_unbounded_fallback_bounded_ls,691.075757342338,185.33756684874996,2.7483447840096713
1,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.6238398946989,32944.953595787956,2.7934778640982114,0.7212388706444605,8.881784197001252e-16,274.89145351014764,0.0,2.798133179009428,823.8889013223562,274.89697129598034,1.2212453270876722e-15,True,False,679.1634624453686,9.367506770274758e-17,8.881784197001252e-16,True,2.7483447840096713,exact_unbounded_fallback_bounded_ls,691.075757342338,185.33756684874996,2.7483447840096713
2,2.0816681711721685e-17,1.0934428697813141e-15,1.3601095770882444e-15,True,False,stacked_exact,False,826.0874569611522,33043.49827844609,2.7804965447355126,0.7092728120647576,1.0934428697813141e-15,272.02733794400734,0.0,2.7833297408817383,826.4821339974195,275.16200539396203,4.996003610813204e-16,True,False,683.4384338214884,2.0816681711721685e-17,9.992007221626409e-16,True,2.737153610982674,exact_unbounded_fallback_bounded_ls,688.2617187194603,184.5828781389946,2.737153610982674
3,3.469446951953614e-17,1.4988010832439613e-15,1.6083230049283077e-15,True,False,stacked_exact,False,830.3012827931034,33212.051311724135,2.756954452674547,0.6912676667059038,1.5543122344752192e-15,266.8288960757,0.0,2.761483579292398,830.8205828985398,275.51343169585857,4.742874840267547e-16,True,False,690.8851599200304,3.469446951953614e-17,1.4988010832439613e-15,True,2.716903549762809,exact_unbounded_fallback_bounded_ls,690.8851599202012,183.09633012545646,2.716903549762809
4,1.3530843112619095e-16,2.3733857464271978e-15,2.3865525450926537e-15,True,False,stacked_exact,False,834.7848848640605,33391.395394562416,2.721756563839396,0.6679512863830244,2.3733857464271978e-15,260.10166674735876,0.0,2.743205692707684,835.4229367468914,275.65365729468306,1.0241628756999045e-15,True,False,699.5440905919513,1.3530843112619095e-16,2.3314683517128287e-15,True,2.700109760029414,exact_unbounded_fallback_bounded_ls,699.54409059262,180.95996180532848,2.700109760029414
5,1.3877787807814457e-17,5.551115123125783e-16,9.215526106908346e-16,True,False,stacked_exact,False,838.1661662361166,33526.646649444665,2.6747236278628974,0.6405378382220391,5.551115123125783e-16,252.35163347355288,0.0,2.734836849621083,838.9168362776669,275.28133196019724,1.6653345369377348e-16,True,False,707.7034461944698,1.3877787807814457e-17,5.551115123125783e-16,True,2.693691395233661,exact_unbounded_fallback_bounded_ls,707.70344619447,178.1986799506278,2.693691395233661
6,4.85722573273506e-17,6.661338147750939e-16,7.727476883374821e-16,True,False,stacked_exact,False,839.3836819952514,33575.347279810056,2.6164179951307465,0.6106946426390046,6.661338147750939e-16,243.82930624637714,0.0,2.738137999107872,840.2409045528351,274.1487379531913,1.27675647831893e-15,True,False,714.1025487907308,4.85722573273506e-17,6.661338147750939e-16,True,2.699325374773098,exact_unbounded_fallback_bounded_ls,714.1025487907308,174.8047494210906,2.699325374773098
7,1.7807424444409652e-15,6.280369834735101e-16,1.893979439164675e-15,True,False,stacked_exact,False,837.7236494703643,33508.945978814576,2.5479960010505147,0.5805126933612247,6.280369834735101e-16,234.6624948432574,0.0,2.751862041054771,838.681452540084,272.08772726117064,1.1957467920563633e-15,True,False,717.9083255581444,1.7763568394002505e-15,4.440892098500626e-16,True,2.712037142225251,exact_unbounded_fallback_bounded_ls,717.9083255581446,173.7276569422757,2.712037142225251
8,1.1796119636642288e-16,4.440892098500626e-16,4.744603159574554e-16,True,False,stacked_exact,False,832.7989739965071,33311.95895986029,2.471081215087244,0.5524615268171786,4.440892098500626e-16,224.94633079385412,0.0,2.7732687908775078,833.8514432491413,269.0147074215892,8.95090418262362e-16,True,False,718.6505196973893,1.1796119636642288e-16,4.440892098500626e-16,True,2.715910663678332,exact_unbounded_fallback_bounded_ls,718.6505196973902,172.30085006107575,2.715910663678332
9,1.3877787807814457e-17,8.881784197001252e-16,1.0779395027908266e-15,True,False,stacked_exact,False,824.4974660811991,32979.898643247965,2.3876494367137076,0.5292653076873559,8.881784197001252e-16,214.7908948661714,0.0,2.7991375640248353,825.638725164219,264.922048993934,2.220446049250313e-16,True,False,716.1450946185564,1.3877787807814457e-17,8.881784197001252e-16,True,2.721407565466866,exact_unbounded_fallback_bounded_ls,716.1450946185574,171.2034366822492,2.7214075654668664
