k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm
0,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.6539030660526,32946.1561226421,2.798133179009428,0.726988529978955,8.881784197001252e-16,274.89697129598034,0.0,2.798133179009428,823.8889013223562,274.89697129598034,1.2212453270876722e-15,True,False,679.1634624453686,9.367506770274758e-17,8.881784197001252e-16,True,2.7483447840096713,exact_unbounded_fallback_bounded_ls,691.075757342338,185.33756684874996,2.7483447840096713
1,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.5215971428677,32940.8638857147,2.7787728285990956,0.7030183322653301,8.881784197001252e-16,274.8784210088218,0.0,2.798133179009428,823.8889013223562,274.89697129598034,1.2212453270876722e-15,True,False,679.1634624453686,9.367506770274758e-17,8.881784197001252e-16,True,2.7483447840096713,exact_unbounded_fallback_bounded_ls,691.075757342338,185.33756684874996,2.7483447840096713
2,1.214306433183765e-16,2.7012892057857038e-15,2.828916152059182e-15,True,False,stacked_exact,False,832.6067423111741,33304.269692446964,2.7396808657852563,0.6718383729274199,2.7012892057857038e-15,261.88856355421825,0.0,2.74787851637789,833.0790532333086,275.46360050230413,1.4988010832439613e-15,True,False,695.5499932774742,1.214306433183765e-16,2.6645352591003757e-15,True,2.704121470605478,exact_unbounded_fallback_bounded_ls,695.5499932774742,181.78147541150375,2.704121470605478
3,1.3183898417423734e-16,1.3322676295501878e-15,1.399468186889275e-15,True,False,stacked_exact,False,842.2217459576374,33688.86983830549,2.6835220293294384,0.6364852360166111,1.3322676295501878e-15,248.16465579394404,0.0,2.74470160148866,842.7881812261877,275.9460406199167,2.220446049250313e-16,True,False,713.0587056712199,1.3183898417423734e-16,1.3322676295501878e-15,True,2.704416555170918,exact_unbounded_fallback_bounded_ls,713.0587056712217,177.61929636744537,2.704416555170918
4,2.0816681711721685e-17,1.9984014443252818e-15,2.0871335190112072e-15,True,False,stacked_exact,False,848.4028115203425,33936.112460813696,2.6132734977273837,0.6004078803195704,1.9984014443252818e-15,235.5653406232105,0.0,2.784132006143718,849.0582921258531,275.55239396291717,0.0,True,False,726.5903224778773,2.0816681711721685e-17,1.9984014443252818e-15,True,2.7448350598377753,exact_unbounded_fallback_bounded_ls,726.5903224778775,175.82862572730747,2.7448350598377753
5,1.491862189340054e-16,6.661338147750939e-16,8.738996068522739e-16,True,False,stacked_exact,False,849.5056185965415,33980.224743861654,2.5321335187732044,0.5674349974942342,6.661338147750939e-16,223.66942328422837,0.0,2.84422161970834,850.2463975926054,273.8052284403213,4.440892098500626e-16,True,False,734.5969726616887,1.491862189340054e-16,6.661338147750939e-16,True,2.779656246919501,exact_unbounded_fallback_bounded_ls,734.5969726616893,175.6145887769354,2.779656246919501
6,1.776766756050014e-15,9.930136612989092e-16,1.920837411914492e-15,True,False,stacked_exact,False,845.160777894831,33806.43111579324,2.4434269202192764,0.541611215828374,9.930136612989092e-16,211.9466564844484,0.0,2.90958274510682,845.982604139044,270.5524411539538,6.661338147750939e-16,True,False,736.9132388780263,1.7763568394002505e-15,8.881784197001252e-16,True,2.819625728830281,exact_unbounded_fallback_bounded_ls,736.9132388780264,176.1683211692785,2.819625728830281
7,1.0755285551056204e-16,1.4043333874306805e-15,1.4462099321862782e-15,True,False,stacked_exact,False,835.6930129273812,33427.72051709525,2.350516300711199,0.5267450228238987,1.4043333874306805e-15,200.16437993835984,0.0,2.97184762718104,836.5915850721219,265.86444047825165,2.220446049250313e-16,True,False,733.9677482054269,1.0755285551056204e-16,1.3322676295501878e-15,True,2.860579195108718,exact_unbounded_fallback_bounded_ls,733.9677482057451,175.46416480543627,2.860579195108718
8,7.632783294297951e-17,4.440892098500626e-16,6.487317215679397e-16,True,False,stacked_exact,False,821.7711573282694,32870.84629313077,2.2567046409179157,0.5256463314790475,4.440892098500626e-16,188.3513367386083,0.0,3.0266946803569676,822.7415215872211,259.93482068032773,2.220446049250313e-16,True,False,726.4380402866682,7.632783294297951e-17,4.440892098500626e-16,True,2.8974508940875676,exact_unbounded_fallback_bounded_ls,726.4380402867671,173.6640940060556,2.8974508940875676
9,7.979727989493313e-17,1.3322676295501878e-15,1.552492368109614e-15,True,False,stacked_exact,False,804.2065982225114,32168.263928900455,2.1651311686126347,0.5393712074223286,1.3322676295501878e-15,176.67965884999649,0.0,3.071947280517986,805.2437812027766,253.01147175958502,2.220446049250313e-16,True,False,715.0945674705287,7.979727989493313e-17,1.3322676295501878e-15,True,2.9274792352746766,exact_unbounded_fallback_bounded_ls,715.0945674705287,170.95229503592358,2.9274792352746766
