k,residual_dyn_norm,residual_out_norm,residual_total_norm,exact_solution,used_lstsq,solver_mode,requested_mode_fallback,u_applied_minus_u_s_norm,u_applied_minus_u_s_phys_norm,y_current_minus_y_s_norm,y_current_minus_y_s_phys_norm,y_s_minus_y_sp_norm,xhat_minus_x_s_norm,dhat_minus_d_s_norm,rhs_output_norm,u_s_dev_norm,x_s_norm,reduced_rhs_exact_residual_norm,exact_solve_success,exact_within_bounds,exact_bound_violation_inf,exact_eq_residual_state_inf,exact_eq_residual_output_inf,bounded_solve_success,bounded_residual_norm,box_solve_mode,us_exact_minus_us_bounded_inf,xs_exact_minus_xs_bounded_inf,reduced_rhs_bounded_residual_norm,analysis_target_variant,analysis_x_label,analysis_u_label,analysis_y_label,analysis_d_label,analysis_u_applied_minus_u_s_norm,analysis_u_applied_minus_u_s_phys_norm,analysis_y_current_minus_y_s_norm,analysis_y_current_minus_y_s_phys_norm,analysis_y_s_minus_y_sp_norm,analysis_xhat_minus_x_s_norm,analysis_dhat_minus_d_s_norm,analysis_u_s_dev_norm,analysis_x_s_norm,analysis_reduced_rhs_residual_norm
0,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.7505242473625,32950.0209698945,2.798133179009428,0.726988529978955,8.881784197001252e-16,274.89697129598034,0.0,2.798133179009428,823.8889013223562,274.89697129598034,1.2212453270876722e-15,True,False,679.1634624453686,9.367506770274758e-17,8.881784197001252e-16,True,2.7841283154943843,exact_unbounded_fallback_bounded_ls,689.2713990471149,187.56916949418854,2.7841283154943843,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,1.6931527855602666,67.72611142241067,2.798133179009428,0.726988529978955,8.881784197001252e-16,274.89697129598034,0.0,1.9564412429482823,274.89697129598034,2.7841283154943843
1,9.367506770274758e-17,8.881784197001252e-16,9.407552637111452e-16,True,False,stacked_exact,False,823.6180413520674,32944.72165408269,2.7927379726926085,0.7203121778978278,8.881784197001252e-16,274.8907974314459,0.0,2.798133179009428,823.8889013223562,274.89697129598034,1.2212453270876722e-15,True,False,679.1634624453686,9.367506770274758e-17,8.881784197001252e-16,True,2.7823547288125914,exact_unbounded_fallback_bounded_ls,689.2728307404951,187.4633803343779,2.7823547288125914,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,1.719993159126669,68.79972636506673,2.7927379726926085,0.7203121778978278,8.881784197001252e-16,274.8907974314459,0.0,2.2094718138333564,274.89697129598034,2.7823547288125914
2,4.85722573273506e-17,5.900916318210353e-16,1.0814605798442445e-15,True,False,stacked_exact,False,825.9587286758062,33038.34914703225,2.778433541371486,0.7073167875872376,5.551115123125783e-16,271.32647632688577,0.0,2.779857003280089,826.3586005996306,275.03816554594795,6.661338147750939e-16,True,False,683.624133423043,4.85722573273506e-17,4.440892098500626e-16,True,2.765351572439566,exact_unbounded_fallback_bounded_ls,693.6071925827572,186.47913568607296,2.765351572439566,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,1.5252130411766172,61.00852164706469,2.778433541371486,0.7073167875872376,5.551115123125783e-16,271.32647632688577,0.0,2.2411510355480617,275.03816554594795,2.765351572439566
3,1.457167719820518e-16,4.186954110781532e-15,4.2755457077856325e-15,True,False,stacked_exact,False,829.8393364159888,33193.573456639555,2.753195013974133,0.6882115309239171,4.242156220644677e-15,265.42709895152035,0.0,2.7557415614837346,830.3627679456982,275.21535861425195,1.1934897514720433e-15,True,False,691.0056661560334,1.457167719820518e-16,4.163336342344337e-15,True,2.7441680639496515,exact_unbounded_fallback_bounded_ls,700.7824093035674,184.81130011763184,2.7441680639496515,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,1.2195652301480735,48.782609205922945,2.753195013974133,0.6882115309239171,4.242156220644677e-15,265.42709895152035,0.0,2.1542523410705354,275.21535861425195,2.7441680639496515
4,1.3530843112619095e-16,6.280369834735101e-16,8.278989656633318e-16,True,False,stacked_exact,False,833.9186093853871,33356.74437541548,2.716155448907911,0.6638845726839457,6.280369834735101e-16,258.07221473956895,0.0,2.736885342520369,834.5594617062375,275.17748648933167,1.0147939585580943e-15,True,False,699.4655160886873,1.3530843112619095e-16,4.440892098500626e-16,True,2.728577421778265,exact_unbounded_fallback_bounded_ls,708.9868027687669,182.5537328597437,2.728577421778265,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,0.9085717761414206,36.342871045656835,2.716155448907911,0.6638845726839457,6.280369834735101e-16,258.07221473956895,0.0,2.017135258607988,275.17748648933167,2.728577421778265
5,1.4224732503009818e-16,1.1102230246251565e-16,3.8713403017649146e-16,True,False,stacked_exact,False,836.8777091363777,33475.108365455104,2.667328777446628,0.6357093022951303,1.1102230246251565e-16,249.78028304874908,0.0,2.7292976200196564,837.6296952571502,274.6383452195561,4.163336342344337e-16,True,False,707.3479417061467,1.4224732503009818e-16,1.1102230246251565e-16,True,2.7235827875673078,exact_unbounded_fallback_bounded_ls,716.588602910727,179.7231676344758,2.7235827875673078,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,0.7645189940121506,30.580759760486025,2.667328777446628,0.6357093022951303,1.1102230246251565e-16,249.78028304874908,0.0,1.8876115566946703,274.6383452195561,2.7235827875673078
6,3.226585665316861e-16,8.881784197001252e-16,1.0856992469682867e-15,True,False,stacked_exact,False,837.6761129694121,33507.04451877648,2.60743872745836,0.6055072912012082,8.881784197001252e-16,240.79326352023222,0.0,2.7341637813117043,838.5331477875544,273.35419845768337,1.0429598422709816e-15,True,False,713.4226074875407,3.226585665316861e-16,8.881784197001252e-16,True,2.7298255267211844,exact_unbounded_fallback_bounded_ls,722.3739224739917,176.30083937539553,2.7298255267211844,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,0.9298399577537287,37.19359831014918,2.60743872745836,0.6055072912012082,8.881784197001252e-16,240.79326352023222,0.0,1.8075249243048024,273.35419845768337,2.7298255267211844
7,5.898059818321144e-17,1.831026719408895e-15,1.9769836263516707e-15,True,False,stacked_exact,False,835.621053924021,33424.84215696083,2.5377744958974673,0.5755205761580914,1.831026719408895e-15,231.2258715258879,0.0,2.7497338318076094,836.5771649148791,271.16039303743116,7.108895957933346e-16,True,False,716.8877595902555,5.898059818321144e-17,1.7763568394002505e-15,True,2.7453884445692727,exact_unbounded_fallback_bounded_ls,725.551659592007,173.4521936212145,2.7453884445692727,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,1.291172197899895,51.64688791599581,2.5377744958974673,0.5755205761580914,1.831026719408895e-15,231.2258715258879,0.0,1.7997265145356045,271.16039303743116,2.7453884445692727
8,9.020562075079397e-17,6.661338147750939e-16,9.57228861366327e-16,True,False,stacked_exact,False,830.3497381462564,33213.98952585026,2.4600653633305516,0.5483529595328718,6.661338147750939e-16,221.1645126657978,0.0,2.7729459006854795,831.3990182403352,267.97825945290504,5.551115123125783e-16,True,False,717.3053414095177,9.020562075079397e-17,6.661338147750939e-16,True,2.767290169074903,exact_unbounded_fallback_bounded_ls,725.6908196718556,173.48546157780328,2.767290169074903,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,1.71282446295397,68.51297851815875,2.4600653633305516,0.5483529595328718,6.661338147750939e-16,221.1645126657978,0.0,1.8660152361768145,267.97825945290504,2.767290169074903
9,1.0408340855860843e-17,8.881784197001252e-16,8.931924886484166e-16,True,False,stacked_exact,False,821.7749481243825,32870.997924975294,2.376366040683219,0.5268152812091161,8.881784197001252e-16,210.71481460921854,0.0,2.8004331552584567,822.9117092625165,263.80577756625036,4.440892098500626e-16,True,False,714.5222897563973,1.0408340855860843e-17,8.881784197001252e-16,True,2.792380493588274,exact_unbounded_fallback_bounded_ls,722.6430991208115,172.75686588356933,2.792380493588274,hybrid,x_s_exact,u_s_bounded,y_s_exact,d_s_exact,2.1382566798318745,85.53026719327498,2.376366040683219,0.5268152812091161,8.881784197001252e-16,210.71481460921854,0.0,1.9919286184209333,263.80577756625036,2.792380493588274
