run_id,rho,rho_label,rho_inferred,case_name,case_label,reward_mean,output0_rmse,output1_rmse,output_rmse_mean,solver_success_rate,hard_contraction_rate,target_reference_error_inf_mean,target_us_u_ref_inf_mean,target_xs_x_ref_inf_mean,bounded_solution_used_steps,exact_target_within_bounds_steps,contraction_margin_min,violation_steps,delta_v_pred_min,delta_v_pred_tail_mean,delta_v_pred_tail_abs_mean,tail_y0_error_mean,tail_y1_error_mean,tail_y0_error_abs_mean,tail_y1_error_abs_mean
20260501_001425,0.95,0.95,0.9500000047041283,bounded_hard,Bounded hard,-46.75930678210454,0.589732915867213,2.3730727376137137,1.4814028267404633,0.9025,0.902,3.820592772645427,12.226371426136557,0.33423373399798245,2000,0,-132.4623266301487,196,-252.1492150613908,-14.625806485717632,14.625806485717632,-0.3777919956420125,0.10542785928749311,0.3777919956420125,1.4556677521498085
20260501_001425,0.95,0.95,0.9500072846152883,bounded_hard_u_prev_0p1,Bounded hard + input anchor,-10.659107997214276,0.27536526876745543,1.1762046647970403,0.7257849667822479,0.9585,0.958,1.3498384648194042,0.300686943634689,0.06303942672091732,1986,14,-88.38841384561249,84,-145.36569886432892,-0.22267561896468846,0.22267561896468846,0.013065029743691801,0.14532461677492164,0.026208408545821297,0.2540867904694755
20260501_001425,0.95,0.95,0.9500000047041283,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,-28.394850038459495,0.4569972333216856,1.9321149459753428,1.1945560896485143,0.95,0.9495,2.3119307527176387,9.988109100898305,0.1593303498622062,1999,1,-123.30684837247532,101,-199.91178064731662,-1.5886099556494067,1.5886099556494067,-0.11491358458590323,0.07441965453820842,0.12580978089569142,0.4128481363823147
20260501_003638,0.98,0.98,0.9800000047041283,bounded_hard,Bounded hard,-11.80082858461914,0.2795527102042832,1.4338309856460107,0.856691847925147,0.9795,0.9795,0.8217922373307501,5.954017048831004,0.09076835445580586,1152,848,-119.88125251456518,41,-145.67100348483882,5.419316399896709e-20,4.800264347532988e-18,7.336372132016322e-10,9.627351573726628e-09,7.336372132016322e-10,9.627351573726628e-09
20260501_003638,0.98,0.98,0.9800072846152883,bounded_hard_u_prev_0p1,Bounded hard + input anchor,-0.4673582993287502,0.06230973525226458,0.20244634648580712,0.13237804086903585,1.0,1.0,0.10361231545301082,0.3576022654214648,0.010084244773471073,311,1689,-5.2665059214810555,0,-6.406336962042573,1.0574450815130841e-19,3.1329166237013704e-18,7.358452869254961e-10,9.658035082793504e-09,7.358452869254961e-10,9.658035082793504e-09
20260501_003638,0.98,0.98,0.9800000047041283,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,-2.001785228713429,0.12674510199167785,0.42805850314377847,0.2774018025677282,0.9985,0.9985,0.23273747383907697,1.9842238893851163,0.020953192229919867,510,1490,-11.059378432553032,3,-13.181864936246939,9.299094470210422e-19,5.070825418869946e-18,7.33444194267463e-10,9.638848723625416e-09,7.33444194267463e-10,9.638848723625416e-09
20260501_002805,0.985,0.985,0.9850000047041283,bounded_hard,Bounded hard,-2.9475891491098642,0.14494383082922943,0.6469502800633095,0.39594705544626946,0.965,0.965,0.43204586877350093,6.227484595818034,0.10309721430275887,1263,737,-68.03113214770963,70,-77.77140187637724,-9.749276822237254e-12,9.776167650930388e-12,-1.595896333306257e-07,6.156927338452078e-07,1.7759436513387072e-07,6.660685176029801e-07
20260501_002805,0.985,0.985,0.9850072846152884,bounded_hard_u_prev_0p1,Bounded hard + input anchor,-9.88002031105399,0.2606757094636563,1.272207407830764,0.7664415586472101,0.986,0.986,1.0668817551457201,0.6262874751784996,0.0617397276081246,1570,430,-128.56424810541057,28,-148.74910033530796,-1.0952338543962134e-05,1.0952338543962134e-05,-0.00017589777201174606,0.002177935057506488,0.00017589777201174606,0.002177935057506488
20260501_002805,0.985,0.985,0.9850000047041283,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,-0.4477158790821239,0.06117519783368326,0.19308765211447895,0.12713142497408111,0.999,0.999,0.09194241335762098,0.9556591707901061,0.012649036855414152,201,1799,-5.168744504990421,2,-5.869736783297846,4.522935482748191e-19,2.741916223530316e-18,7.342784336117347e-10,9.655471444602881e-09,7.342784336117347e-10,9.655471444602881e-09
20260501_001948,0.99,0.99,0.9900000047041283,bounded_hard,Bounded hard,-0.3619547749787188,0.05554688486959277,0.17037479213306322,0.112960838501328,0.9985,0.9985,0.06914315601660743,1.0226078501564002,0.008111770840867472,221,1779,-1.7760362295063992,3,-1.9478401950750168,2.6285950136087794e-19,1.5464792983766251e-18,7.362059228910312e-10,9.703328487375984e-09,7.362059228910312e-10,9.703328487375984e-09
20260501_001948,0.99,0.99,0.9900072846152883,bounded_hard_u_prev_0p1,Bounded hard + input anchor,-0.3700300094494299,0.0565763978785224,0.163808199640323,0.1101922987594227,1.0,1.0,0.07232789464099373,0.1405782737046004,0.0023345270384819454,221,1779,-2.0000818082314424,0,-2.222084417679511,-4.549443517093636e-19,2.067990563526642e-18,7.324528361607463e-10,9.65757919857424e-09,7.324528361607463e-10,9.65757919857424e-09
20260501_001948,0.99,0.99,0.9900000047041283,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,-0.36220250742908344,0.05556043224213049,0.17054431140538218,0.11305237182375633,0.9985,0.9985,0.07086238330907366,0.903715707256922,0.0075593572901862536,227,1773,-2.030419489543835,3,-2.2255159839715084,-3.364596469270673e-20,3.619822576297587e-18,7.179261896084199e-10,9.57446502525272e-09,7.179261896084199e-10,9.57446502525272e-09
