run_id,rho,rho_label,rho_inferred,case_name,case_label,reward_mean,output_rmse_mean,solver_success_rate,hard_contraction_rate,target_reference_error_inf_mean,target_us_u_ref_inf_mean,target_xs_x_ref_inf_mean,bounded_solution_used_steps,exact_target_within_bounds_steps,contraction_margin_min,violation_steps
20260501_001425,0.95,0.95,0.9500000047041283,bounded_hard,Bounded hard,-46.75930678210454,1.4814028267404633,0.9025,0.902,3.820592772645427,12.226371426136557,0.33423373399798245,2000,0,-132.4623266301487,196
20260501_001425,0.95,0.95,0.9500072846152883,bounded_hard_u_prev_0p1,Bounded hard + input anchor,-10.659107997214276,0.7257849667822479,0.9585,0.958,1.3498384648194042,0.300686943634689,0.06303942672091732,1986,14,-88.38841384561249,84
20260501_001425,0.95,0.95,0.9500000047041283,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,-28.394850038459495,1.1945560896485143,0.95,0.9495,2.3119307527176387,9.988109100898305,0.1593303498622062,1999,1,-123.30684837247532,101
20260501_003638,0.98,0.98,0.9800000047041283,bounded_hard,Bounded hard,-11.80082858461914,0.856691847925147,0.9795,0.9795,0.8217922373307501,5.954017048831004,0.09076835445580586,1152,848,-119.88125251456518,41
20260501_003638,0.98,0.98,0.9800072846152883,bounded_hard_u_prev_0p1,Bounded hard + input anchor,-0.4673582993287502,0.13237804086903585,1.0,1.0,0.10361231545301082,0.3576022654214648,0.010084244773471073,311,1689,-5.2665059214810555,0
20260501_003638,0.98,0.98,0.9800000047041283,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,-2.001785228713429,0.2774018025677282,0.9985,0.9985,0.23273747383907697,1.9842238893851163,0.020953192229919867,510,1490,-11.059378432553032,3
20260501_002805,0.985,0.985,0.9850000047041283,bounded_hard,Bounded hard,-2.9475891491098642,0.39594705544626946,0.965,0.965,0.43204586877350093,6.227484595818034,0.10309721430275887,1263,737,-68.03113214770963,70
20260501_002805,0.985,0.985,0.9850072846152884,bounded_hard_u_prev_0p1,Bounded hard + input anchor,-9.88002031105399,0.7664415586472101,0.986,0.986,1.0668817551457201,0.6262874751784996,0.0617397276081246,1570,430,-128.56424810541057,28
20260501_002805,0.985,0.985,0.9850000047041283,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,-0.4477158790821239,0.12713142497408111,0.999,0.999,0.09194241335762098,0.9556591707901061,0.012649036855414152,201,1799,-5.168744504990421,2
20260501_001948,0.99,0.99,0.9900000047041283,bounded_hard,Bounded hard,-0.3619547749787188,0.112960838501328,0.9985,0.9985,0.06914315601660743,1.0226078501564002,0.008111770840867472,221,1779,-1.7760362295063992,3
20260501_001948,0.99,0.99,0.9900072846152883,bounded_hard_u_prev_0p1,Bounded hard + input anchor,-0.3700300094494299,0.1101922987594227,1.0,1.0,0.07232789464099373,0.1405782737046004,0.0023345270384819454,221,1779,-2.0000818082314424,0
20260501_001948,0.99,0.99,0.9900000047041283,bounded_hard_xs_prev_0p1,Bounded hard + x_s smoothing,-0.36220250742908344,0.11305237182375633,0.9985,0.9985,0.07086238330907366,0.903715707256922,0.0075593572901862536,227,1773,-2.030419489543835,3
