run,case,u_weight,x_weight,reward_mean,solver_success_rate,hard_contraction_rate,output_reference_error_inf_mean,target_reference_error_inf_mean,bounded_solution_used_steps,fail_steps
20260517_153153,bounded_hard_u_prev_0p1_xs_prev_0p1,0.1,0.1,-1.824737228418133,1.0,1.0,0.20406344903735793,0.24912974369260396,895,0
20260517_000104,bounded_hard_u_prev_100_xs_prev_100,100.0,100.0,-2.486391083832844,1.0,1.0,0.34943218630710665,0.4449509958629271,2822,0
20260516_202336,bounded_hard_u_prev_0p25_xs_prev_0p25,0.25,0.25,-2.994615492724496,1.0,1.0,0.39736797151146414,0.5109102261927586,2796,0
20260516_234728,bounded_hard_u_prev_100_xs_prev_50,100.0,50.0,-3.157828815573755,1.0,1.0,0.39623424707219823,0.5178956928503065,2842,0
20260516_221557,bounded_hard_u_prev_1_xs_prev_1,1.0,1.0,-3.2489622566497247,1.0,1.0,0.41008865791333265,0.5494822737624169,2819,0
20260516_203049,bounded_hard_u_prev_0p1_xs_prev_0p1,0.1,0.1,-4.077068792099176,0.999375,0.999375,0.45203781651686326,0.5811094998320694,2833,2
20260517_010602,bounded_hard_u_prev_100_xs_prev_10000,100.0,10000.0,-4.443417041914916,1.0,1.0,0.4890541470309153,0.5876579185998638,2893,0
20260516_222315,bounded_hard_u_prev_1_xs_prev_10,1.0,10.0,-6.095016802653568,0.9975,0.9975,0.6329406396094001,1.00751641157512,2914,8
20260516_233928,bounded_hard_u_prev_10_xs_prev_50,10.0,50.0,-6.193350518784204,0.999375,0.999375,0.5843314652416295,0.7886741856231733,2927,2
20260516_231246,bounded_hard_u_prev_10_xs_prev_10,10.0,10.0,-7.531667024258495,0.975,0.975,0.50350969990328,0.6262341811981622,2823,80
20260516_213545,bounded_hard_u_prev_0p1_xs_prev_1,0.1,1.0,-7.832989648073819,0.9975,0.9975,0.6650967065593837,0.9781017065549821,2852,8
20260516_202336,bounded_hard,0.0,0.0,-11.597248819094226,0.943125,0.943125,1.0503271656167623,1.4252939177897985,3184,182
20260517_153153,bounded_hard,0.0,0.0,-13.465507587310212,0.9784375,0.9784375,1.1524303744876698,1.8104289517090348,2293,69
20260517_150158,bounded_hard,0.0,0.0,-19.135182848385305,0.9546875,0.954375,1.3878484285441857,1.7985610048138019,3075,145
20260517_145830,bounded_hard,0.0,0.0,-23.211514557217296,0.9378125,0.9371875,1.6708626287287875,2.4539899839668697,3198,199
20260517_145830,bounded_hard_u_prev_0_xs_prev_0p1,0.0,0.1,-25.16062341650417,0.95625,0.9559375,1.7562588477367944,2.451743527921208,3034,140
20260517_011421,bounded_hard_u_prev_10000_xs_prev_10000,10000.0,10000.0,-30.13247828423042,0.90125,0.90125,1.0904686227192184,1.2666617584742896,2992,316
20260517_141140,bounded_hard_u_prev_100000_xs_prev_100000,100000.0,100000.0,-39.640532523872885,0.8759375,0.8759375,1.292690030690036,1.4370444738807935,2882,397
