label,run_dir,case_name,n_steps,target_mode,lyapunov_mode,reward_mean_logged,output0_rmse,output1_rmse,output_rmse_mean,diagnostic_unsafe_rate,actual_intervention_rate,target_success_rate,governor_active_rate
2026-05-20 full bounded MPC monitor,results\directLyap\20260520_165653,mpc_only,240000,bounded,diagnostic_only,-4.332737897682482,0.1906874356265954,0.5651469916108133,0.3779172136187043,0.0274916666666666,0.0,1.0,
2026-05-20 full bounded Lyap,results\directLyap\20260520_165653,lyap_mix_u0p1_x0p1_lex,240000,bounded,hard,-4.33570237638183,0.1907524937973886,0.5653296735447246,0.3780410836710566,0.0,0.9999916666666666,1.0,
2026-05-23 short bounded MPC monitor,results\directLyap\20260523_011436,mpc_only,1600,bounded,diagnostic_only,-3.8783062964013504,0.1800729986575126,0.5336647668824996,0.3568688827700061,0.35875,0.0,1.0,
2026-06-05 governed MPC monitor A,results\directLyap\20260605_143910,mpc_only,8000,governed_reference,diagnostic_only,-4.24127677608009,0.1885839133112134,0.5588621292057308,0.3737230212584721,0.2905,0.0,1.0,0.8455
2026-06-05 governed MPC monitor B,results\directLyap\20260605_144901,mpc_only,8000,governed_reference,diagnostic_only,-4.24127677608009,0.1885839133112134,0.5588621292057308,0.3737230212584721,0.178625,0.0,1.0,0.8455
2026-06-05 governed MPC monitor C,results\directLyap\20260605_155254,mpc_only,8000,governed_reference,diagnostic_only,-4.24127677608009,0.1885839133112134,0.5588621292057308,0.3737230212584721,0.004875,0.0,1.0,0.8455
2026-06-06 governed Direct LMPC,results\directLyap\20260606_020549,lyap_governed_reference,240000,governed_reference,hard,-4.343130736231523,0.1909704070358824,0.5642626800581322,0.3776165435470073,0.0,1.0,1.0,0.8423958333333333
2026-06-06 governed MPC monitor,results\directLyap\20260606_020549,mpc_only,240000,governed_reference,diagnostic_only,-4.332737897682482,0.1906874356265954,0.5651469916108133,0.3779172136187043,0.0018333333333333,0.0,1.0,0.8366041666666667
current Direct LMPC baseline,results\DirectLMPCDisturbance\20260610_200442,Direct LMPC baseline,240000,governed_reference,current_runner,-12.498915957305657,0.1909704070358824,0.564262680058132,0.3776165435470072,0.0,1.0,,
current OF-MPC baseline,results\OffsetFreeMPCDisturbance\20260610_200445,OF-MPC baseline,240000,governed_reference,current_runner,-12.480443125920576,0.19068743562659546,0.5651469916108133,0.37791721361870434,0.0018333333333333333,0.0,,
