case,window,block,n_steps,reward_no_penalty_mean,reward_mean,output0_rmse,output1_rmse,output_rmse_mean,actual_intervention_rate,diagnostic_unsafe_rate
LMPC pretrained + gate,all episodes,"S1 high [4.5, 324]",120000,-7.506377844135727,-9.973727265048687,0.13581057883026515,0.38853958341928946,0.2621750811247773,0.04554166666666667,0.0
LMPC pretrained + gate,all episodes,"S2 low [3.4, 321]",120000,-10.124234833112267,-11.428573032142888,0.16718154990247308,0.46180022461070486,0.31449088725658897,0.04174166666666667,0.0
LMPC pretrained + gate,tail 50,"S1 high [4.5, 324]",20000,-4.83389783427327,-8.826327078996043,0.10195110788867819,0.21657307358142422,0.1592620907350512,0.0676,0.0
LMPC pretrained + gate,tail 50,"S2 low [3.4, 321]",20000,-5.308023868074717,-6.442643558780701,0.12667068046074548,0.22876906665243962,0.17771987355659255,0.0315,0.0
OF-MPC pretrained + gate,all episodes,"S1 high [4.5, 324]",120000,-6.808023386703218,-8.853745218547047,0.13236149965578384,0.35808390760035913,0.24522270362807147,0.03944166666666667,0.0
OF-MPC pretrained + gate,all episodes,"S2 low [3.4, 321]",120000,-10.64785928568528,-12.843375190399192,0.16761546680757033,0.48316173439039556,0.32538860059898295,0.046441666666666666,0.0
OF-MPC pretrained + gate,tail 50,"S1 high [4.5, 324]",20000,-4.01430458580576,-6.183855023777953,0.10081194722705963,0.19881364633030663,0.14981279677868314,0.0337,0.0
OF-MPC pretrained + gate,tail 50,"S2 low [3.4, 321]",20000,-5.330119818827831,-6.264103104812828,0.12590477708475606,0.23662709637931398,0.181265936732035,0.02235,0.0
LMPC pretrained no gate,all episodes,"S1 high [4.5, 324]",120000,-127.20250643307695,-127.20250643307695,0.21086020082163104,3.427276729929721,1.8190684653756761,0.0,0.07208333333333333
LMPC pretrained no gate,all episodes,"S2 low [3.4, 321]",120000,-13.290517053289701,-13.290517053289701,0.1822615624464175,0.6655910366943548,0.4239262995703862,0.0,0.06458333333333334
LMPC pretrained no gate,tail 50,"S1 high [4.5, 324]",20000,-3.4374025711640184,-3.4374025711640184,0.10173509508750099,0.19954672549932756,0.15064091029341428,0.0,0.0373
LMPC pretrained no gate,tail 50,"S2 low [3.4, 321]",20000,-5.134778086402486,-5.134778086402486,0.12883479647777116,0.23748885984783116,0.18316182816280116,0.0,0.0189
OF-MPC pretrained no gate,all episodes,"S1 high [4.5, 324]",120000,-5.6334686883756735,-5.6334686883756735,0.12487680469117055,0.34664219636156146,0.23575950052636602,0.0,0.08789166666666667
OF-MPC pretrained no gate,all episodes,"S2 low [3.4, 321]",120000,-8.083018111694784,-8.083018111694784,0.15139614309039603,0.4313616957827656,0.29137891943658084,0.0,0.069575
OF-MPC pretrained no gate,tail 50,"S1 high [4.5, 324]",20000,-3.213405922475701,-3.213405922475701,0.09916592361855946,0.18624083625662916,0.1427033799375943,0.0,0.02445
OF-MPC pretrained no gate,tail 50,"S2 low [3.4, 321]",20000,-4.859053058892593,-4.859053058892593,0.1266589218089815,0.2136272509407785,0.17014308637488001,0.0,0.01305
Cold start + gate,all episodes,"S1 high [4.5, 324]",120000,-16.3304659642496,-19.1815168247422,0.1877204630970679,0.7202999335662789,0.4540101983316734,0.043175,0.0
Cold start + gate,all episodes,"S2 low [3.4, 321]",120000,-14.777751706207306,-16.57997013097058,0.18671236814839393,0.6329186995994179,0.4098155338739059,0.03364166666666667,0.0
Cold start + gate,tail 50,"S1 high [4.5, 324]",20000,-4.181999169766523,-6.531165169731361,0.09977099004836641,0.1995522224326631,0.14966160624051475,0.0439,0.0
Cold start + gate,tail 50,"S2 low [3.4, 321]",20000,-5.34078731836318,-6.424710340452405,0.1265980016303389,0.23010284845072035,0.17835042504052961,0.0283,0.0
