case,runner_dir,family,batch,run_dir,n_steps,n_episodes,target_mode,target_selector_variant,pretrain_source,teacher_source,safety_gate,reward_mean,reward_no_penalty_mean,fallback_penalty_mean,reward_penalty_gap,output0_rmse,output1_rmse,output_rmse_mean,output0_mae,output1_mae,output_mae_mean,output_max_abs_error,tail50_reward_mean,tail50_reward_no_penalty,tail50_fallback_penalty,tail50_output_rmse_mean,tail50_actual_intervention_rate,tail50_diagnostic_unsafe_rate,last_reward_no_penalty,last_output_rmse_mean,last_actual_intervention_rate,last_diagnostic_unsafe_rate,best_episode,best_reward_no_penalty,best_output_rmse_mean,actual_intervention_rate,actual_gate_intervention_rate,diagnostic_unsafe_rate,fallback_verified_rate,actual_intervention_count,fallback_verified_count,fallback_count,solver_fail_hold_prev_count,target_fail_hold_prev_count,target_residual_mean,target_residual_max,target_us_u_ref_inf_mean,target_us_u_ref_inf_max,target_xs_x_ref_inf_mean,target_xs_x_ref_inf_max,target_u_ref_active_rate,target_x_ref_active_rate,contraction_margin_min,wall_clock_seconds,checkpoint_selector_note
LMPC pretrained + gate,OnlineTD3_LMPCPretrained_SafetyGate,online_gate,bounded_mixed,results\OnlineTD3_LMPCPretrained_SafetyGate\20260611_000544,240000,300,bounded,bounded_mixed_u0p1_x0p1,lmpc,direct_lyapunov_mpc,True,-9.605376520376335,-8.248280606418978,1.3570959139573573,1.357095913957357,0.1482659034424438,0.4229595607215013,0.2856127320819726,0.05691839029980203,0.22531571727319963,0.14111705378650083,5.734061755290384,-7.0675601250568345,-5.078722710425498,1.9888374146313368,0.17464069562569454,0.04017500000000001,0.0,-5.816672083338634,0.1916376316594215,0.0425,0.0,287,-4.336221491027783,0.1612796212268445,0.019958333333333335,0.019958333333333335,0.0,0.017983333333333334,4790,4316,4316,474,0,0.7007539898326255,13.343605228014992,0.6212668782382753,17.431896223858477,0.21150724341399002,4.789134695476618,0.9149958333333333,0.9149916666666666,-140.36099140290548,5615.074424200007,lmpc checkpoint loading is unchanged; online Direct LMPC gate/diagnostic target selector is bounded_mixed_u0p1_x0p1
LMPC pretrained + gate,OnlineTD3_LMPCPretrained_SafetyGate,online_gate,governed_reference,results\OnlineTD3_LMPCPretrained_SafetyGate\20260610_200545,240000,300,governed_reference,,lmpc,direct_lyapunov_mpc,True,-10.701150148595788,-8.815306338623996,1.8858438099717911,1.8858438099717922,0.15230591575839017,0.4267449210794038,0.289525418418897,0.05587758745697918,0.19787478085957041,0.12687618415827479,9.449638696644115,-7.634485318888373,-5.070960851173995,2.563524467714379,0.16863695546951255,0.04954999999999999,0.0,-5.124853777907604,0.1652528172293328,0.05625,0.0,255,-3.879289632361511,0.1501317617513701,0.04364166666666667,0.04364166666666667,0.0,0.04272083333333333,10474,10253,10253,221,0,4.4539721787405965e-08,0.0006278343569239955,8.242557656892531,19.361199999999997,0.6779750457379687,5.803912500000003,0.0,0.0,-153.16226171785274,5596.806129000004,
OF-MPC pretrained + gate,OnlineTD3_OFMPCPretrained_SafetyGate,online_gate,bounded_mixed,results\OnlineTD3_OFMPCPretrained_SafetyGate\20260611_000552,240000,300,bounded,bounded_mixed_u0p1_x0p1,of_mpc,offset_free_mpc,True,-9.411153928850576,-8.216580367793757,1.1945735610568207,1.1945735610568189,0.14897459762903575,0.43123505480336005,0.29010482621619793,0.0552170375262628,0.1937916210118125,0.12450432926903765,9.121465229917192,-6.345624158390455,-4.902748224655667,1.4428759337347885,0.17692106684556944,0.03635,0.0,-5.155012819392743,0.1899794880187403,0.01375,0.0,295,-3.907412585222438,0.1570427873775103,0.024070833333333333,0.024070833333333333,0.0,0.0227875,5777,5469,5469,308,0,0.6648250322068275,21.359020381269364,0.7622693586741536,16.587433410186048,0.22925695455634332,4.816216452047515,0.8832125,0.8832083333333334,-156.1093762988835,5147.557832199993,of_mpc checkpoint loading is unchanged; online Direct LMPC gate/diagnostic target selector is bounded_mixed_u0p1_x0p1
OF-MPC pretrained + gate,OnlineTD3_OFMPCPretrained_SafetyGate,online_gate,governed_reference,results\OnlineTD3_OFMPCPretrained_SafetyGate\20260610_200552,240000,300,governed_reference,,of_mpc,offset_free_mpc,True,-10.84856020447312,-8.727941336194249,2.120618868278872,2.1206188682788714,0.1510207126593039,0.42524660284443466,0.2881336577518693,0.060128730582574286,0.20579323414923323,0.13296098236590376,7.499265679292591,-6.223979064295391,-4.672212202316796,1.551766861978595,0.16616160895227433,0.028024999999999998,0.0,-4.122530912614011,0.1624155740641604,0.00375,0.0,291,-4.0812264068821165,0.1621088106699467,0.04294166666666667,0.04294166666666667,0.0,0.041041666666666664,10306,9850,9850,456,0,3.4837796383145704e-08,0.00018495647030723563,7.745020323483428,19.361199999999997,0.6979888677787901,5.803937946046812,0.0,0.0,-180.64157256172962,5361.294575099993,
LMPC pretrained no gate,OnlineTD3_LMPCPretrained_NoSafetyGate,online_no_gate,bounded_mixed,results\OnlineTD3_LMPCPretrained_NoSafetyGate\20260611_000541,240000,300,bounded,bounded_mixed_u0p1_x0p1,lmpc,offset_free_mpc,False,-70.24651174318332,-70.24651174318332,0.0,0.0,0.19708031539951693,2.4687281352597035,1.3329042253296102,0.05601763058250734,0.272141886426305,0.16407975850440618,106.98450100527663,-4.286090328783253,-4.286090328783253,0.0,0.16765577198970127,0.0,0.057074999999999994,-4.314135374098076,0.1688714665052991,0.0,0.0275,278,-4.210331518390616,0.1642130761306632,0.0,0.0,0.024845833333333334,0.0,0,0,0,0,0,0.8077381620092046,672.3559494899007,0.6218372220275298,19.959999999999997,0.18850648461136305,6.174375000000002,0.9051375,0.9051333333333333,-243094.43748052977,5072.253088600002,lmpc checkpoint loading is unchanged; online Direct LMPC gate/diagnostic target selector is bounded_mixed_u0p1_x0p1
LMPC pretrained no gate,OnlineTD3_LMPCPretrained_NoSafetyGate,online_no_gate,governed_reference,results\OnlineTD3_LMPCPretrained_NoSafetyGate\20260610_200457,240000,300,governed_reference,,lmpc,offset_free_mpc,False,-70.24651174318332,-70.24651174318332,0.0,0.0,0.19708031539951693,2.4687281352597035,1.3329042253296102,0.05601763058250734,0.272141886426305,0.16407975850440618,106.98450100527663,-4.286090328783253,-4.286090328783253,0.0,0.16765577198970127,0.0,0.0281,-4.314135374098076,0.1688714665052991,0.0,0.01625,278,-4.210331518390616,0.1642130761306632,0.0,0.0,0.06833333333333333,0.0,0,0,0,0,0,4.464862240564711e-08,0.0005312825604476061,7.450793497292866,19.361199999999997,0.5455659632351503,5.803912500000003,0.0,0.0,-243100.5551393628,4959.859639100003,
OF-MPC pretrained no gate,OnlineTD3_OFMPCPretrained_NoSafetyGate,online_no_gate,bounded_mixed,results\OnlineTD3_OFMPCPretrained_NoSafetyGate\20260611_000548,240000,300,bounded,bounded_mixed_u0p1_x0p1,of_mpc,offset_free_mpc,False,-6.858243400035228,-6.858243400035228,0.0,0.0,0.13877141004638754,0.39130149813598547,0.2650364540911865,0.04539213864890687,0.16835333676676295,0.10687273770783491,9.545987168328907,-4.036229490684147,-4.036229490684147,0.0,0.1570550141025229,0.0,0.05422500000000001,-3.930915979929402,0.1564886129260702,0.0,0.00625,295,-3.911207643617897,0.1537227456944711,0.0,0.0,0.04965833333333333,0.0,0,0,0,0,0,0.5352760643777991,16.165233127760036,1.1732836816814414,16.883337800624243,0.24638720294214556,4.5714288698227765,0.8158333333333333,0.8158291666666667,-101.87737856989361,4820.6633695000055,of_mpc checkpoint loading is unchanged; online Direct LMPC gate/diagnostic target selector is bounded_mixed_u0p1_x0p1
OF-MPC pretrained no gate,OnlineTD3_OFMPCPretrained_NoSafetyGate,online_no_gate,governed_reference,results\OnlineTD3_OFMPCPretrained_NoSafetyGate\20260610_200548,240000,300,governed_reference,,of_mpc,offset_free_mpc,False,-6.858243400035228,-6.858243400035228,0.0,0.0,0.13877141004638754,0.39130149813598547,0.2650364540911865,0.04539213864890687,0.16835333676676295,0.10687273770783491,9.545987168328907,-4.036229490684147,-4.036229490684147,0.0,0.1570550141025229,0.0,0.018750000000000003,-3.930915979929402,0.1564886129260702,0.0,0.00375,295,-3.911207643617897,0.1537227456944711,0.0,0.0,0.07873333333333334,0.0,0,0,0,0,0,5.0052368564438737e-08,0.0006922726863758617,7.59355784934849,19.361199999999997,0.5271623900221155,5.803912500000003,0.0,0.0,-99.47159937547644,4971.293179700006,
Cold start + gate,OnlineTD3_ColdStart_SafetyGate,online_gate,bounded_mixed,results\OnlineTD3_ColdStart_SafetyGate\20260611_000537,240000,300,bounded,bounded_mixed_u0p1_x0p1,,direct_lyapunov_mpc,True,-18.240784342094766,-16.879936909412056,1.3608474326827127,1.3608474326827107,0.1838671939477351,0.8207339182595504,0.5023005561036428,0.06018252746972857,0.22717748227235818,0.14368000487104338,105.91607202140773,-7.146292687722466,-5.012522211831621,2.1337704758908465,0.17057990499677078,0.044275,0.0,-3.832239099610285,0.1460154578378072,0.04375,0.0,300,-3.832239099610285,0.1460154578378072,0.0229,0.0229,0.0,0.020775,5496,4986,4986,510,0,0.9340365446547796,678.202121283339,0.7142014342448783,18.48321682291139,0.3981725661243443,5.313324264536556,0.9124666666666666,0.9124625,-259732.30491358787,5564.486663899996,cold-start run; no pretrained checkpoint was loaded
Cold start + gate,OnlineTD3_ColdStart_SafetyGate,online_gate,governed_reference,results\OnlineTD3_ColdStart_SafetyGate\20260610_200453,240000,300,governed_reference,,,direct_lyapunov_mpc,True,-17.88074347785639,-15.554108835228456,2.3266346426279334,2.326634642627935,0.1872170941513599,0.6780184638334718,0.4326177789924158,0.06467263913064832,0.22903845474126583,0.14685554693595707,16.889804297724993,-6.477937755091882,-4.761393244064851,1.716544511027032,0.16456936459846166,0.0361,0.0,-4.670204979182876,0.1670021602857772,0.01375,0.0,289,-3.9990858508191183,0.1565156962112879,0.038408333333333336,0.038408333333333336,0.0,0.036458333333333336,9218,8750,8750,468,0,3.141761771880411e-08,0.00034318697271289264,9.112205097730229,19.361199999999997,1.185528821951504,5.803956769418354,0.0,0.0,-923.0784276502545,5722.5775808000035,
