case,batch,phase,n_episodes,reward_mean,reward_no_penalty_mean,fallback_penalty_mean,output_rmse_mean,actual_intervention_rate,diagnostic_unsafe_rate,fallback_count,fallback_verified_count,solver_fail_hold_prev_count
LMPC pretrained + gate,bounded_mixed,BC,20,-28.862904092689625,-28.772233575996275,0.0906705166933505,0.5771195571795148,0.008937500000000003,0.0,122,122,21
LMPC pretrained + gate,bounded_mixed,handoff,5,-18.959979059223738,-18.865390885367756,0.09458817385598424,0.4598605081254221,0.00475,0.0,18,18,1
LMPC pretrained + gate,bounded_mixed,full TD3,275,-8.034745378047234,-6.562591112650651,1.4721542653965827,0.22456778893332555,0.021036363636363638,0.0,4176,4176,452
LMPC pretrained + gate,bounded_mixed,tail 50,50,-7.0675601250568345,-5.078722710425498,1.9888374146313368,0.17464069562569454,0.04017500000000001,0.0,1509,1509,98
LMPC pretrained + gate,governed_reference,BC,20,-50.527324398435745,-50.33427038747429,0.1930540109614543,0.7905635457346079,0.018999999999999996,0.0,197,197,107
LMPC pretrained + gate,governed_reference,handoff,5,-17.220132777451216,-16.159728648225844,1.0604041292253736,0.4331499532947136,0.0345,0.0,123,123,15
LMPC pretrained + gate,governed_reference,full TD3,275,-7.686174155355509,-5.662210365805759,2.02396378954975,0.19437079975737764,0.045599999999999995,0.0,9933,9933,99
LMPC pretrained + gate,governed_reference,tail 50,50,-7.634485318888373,-5.070960851173995,2.563524467714379,0.16863695546951255,0.04954999999999999,0.0,1971,1971,11
OF-MPC pretrained + gate,bounded_mixed,BC,20,-34.26729022515961,-32.88804597666151,1.3792442484980938,0.6327340024656564,0.017375,0.0,250,250,28
OF-MPC pretrained + gate,bounded_mixed,handoff,5,-23.348242062286282,-23.282261499524584,0.0659805627617003,0.5927566272293256,0.00225,0.0,8,8,1
OF-MPC pretrained + gate,bounded_mixed,full TD3,275,-7.350033323056544,-6.148370484753723,1.2016628383028207,0.2092717304552876,0.024954545454545455,0.0,5211,5211,279
OF-MPC pretrained + gate,bounded_mixed,tail 50,50,-6.345624158390455,-4.902748224655667,1.4428759337347885,0.17692106684556944,0.03635,0.0,1409,1409,45
OF-MPC pretrained + gate,governed_reference,BC,20,-54.83204953835146,-52.03372134146051,2.7983281968909486,0.8093998511542031,0.0355,0.0,429,429,139
OF-MPC pretrained + gate,governed_reference,handoff,5,-15.045924414673218,-13.229963862446828,1.8159605522263913,0.3425639098018407,0.029500000000000005,0.0,114,114,4
OF-MPC pretrained + gate,governed_reference,full TD3,275,-7.57344526727833,-5.496575108061201,2.0768701592171293,0.19448221349017825,0.043727272727272726,0.0,9307,9307,313
OF-MPC pretrained + gate,governed_reference,tail 50,50,-6.223979064295391,-4.672212202316796,1.551766861978595,0.16616160895227433,0.028024999999999998,0.0,1063,1063,58
LMPC pretrained no gate,bounded_mixed,BC,20,-17.11432668510014,-17.11432668510014,0.0,0.4558864717973418,0.0,0.0164375,0,0,0
LMPC pretrained no gate,bounded_mixed,handoff,5,-11.264098611048814,-11.264098611048814,0.0,0.3941537226920092,0.0,0.0,0,0,0
LMPC pretrained no gate,bounded_mixed,full TD3,275,-75.1830781679918,-75.1830781679918,0.0,0.2948478081378645,0.0,0.02590909090909091,0,0,0
LMPC pretrained no gate,bounded_mixed,tail 50,50,-4.286090328783253,-4.286090328783253,0.0,0.16765577198970127,0.0,0.057074999999999994,0,0,0
LMPC pretrained no gate,governed_reference,BC,20,-17.11432668510014,-17.11432668510014,0.0,0.4558864717973418,0.0,0.075375,0,0,0
LMPC pretrained no gate,governed_reference,handoff,5,-11.264098611048814,-11.264098611048814,0.0,0.3941537226920092,0.0,0.29125,0,0,0
LMPC pretrained no gate,governed_reference,full TD3,275,-75.1830781679918,-75.1830781679918,0.0,0.2948478081378645,0.0,0.06376818181818182,0,0,0
LMPC pretrained no gate,governed_reference,tail 50,50,-4.286090328783253,-4.286090328783253,0.0,0.16765577198970127,0.0,0.0281,0,0,0
OF-MPC pretrained no gate,bounded_mixed,BC,20,-17.11432668510014,-17.11432668510014,0.0,0.4558864717973418,0.0,0.0164375,0,0,0
OF-MPC pretrained no gate,bounded_mixed,handoff,5,-14.97715593517131,-14.97715593517131,0.0,0.3987254985246917,0.0,0.0035000000000000005,0,0,0
OF-MPC pretrained no gate,bounded_mixed,full TD3,275,-5.964729842300761,-5.964729842300761,0.0,0.20048855089642836,0.0,0.052913636363636364,0,0,0
OF-MPC pretrained no gate,bounded_mixed,tail 50,50,-4.036229490684147,-4.036229490684147,0.0,0.1570550141025229,0.0,0.05422500000000001,0,0,0
OF-MPC pretrained no gate,governed_reference,BC,20,-17.11432668510014,-17.11432668510014,0.0,0.4558864717973418,0.0,0.075375,0,0,0
OF-MPC pretrained no gate,governed_reference,handoff,5,-14.97715593517131,-14.97715593517131,0.0,0.3987254985246917,0.0,0.17325000000000002,0,0,0
OF-MPC pretrained no gate,governed_reference,full TD3,275,-5.964729842300761,-5.964729842300761,0.0,0.20048855089642836,0.0,0.0772590909090909,0,0,0
OF-MPC pretrained no gate,governed_reference,tail 50,50,-4.036229490684147,-4.036229490684147,0.0,0.1570550141025229,0.0,0.018750000000000003,0,0,0
Cold start + gate,bounded_mixed,BC,20,-170.18914536373217,-170.00618105855497,0.1829643051772304,1.5436824541543703,0.013000000000000001,0.0,129,129,79
Cold start + gate,bounded_mixed,handoff,5,-11.9314406684754,-11.732754370265287,0.1986862982101138,0.3990350550052593,0.00525,0.0,17,17,4
Cold start + gate,bounded_mixed,full TD3,275,-7.304709789132398,-5.837067926549786,1.467641862582613,0.18486878159986586,0.023940909090909093,0.0,4840,4840,427
Cold start + gate,bounded_mixed,tail 50,50,-7.146292687722466,-5.012522211831621,2.1337704758908465,0.17057990499677078,0.044275,0.0,1710,1710,61
Cold start + gate,governed_reference,BC,20,-145.7200606506451,-145.40819989883178,0.3118607518133156,1.4835391579889472,0.021374999999999998,0.0,162,162,180
Cold start + gate,governed_reference,handoff,5,-14.926864847211709,-12.970112951594412,1.9567518956172953,0.3677684554926017,0.0405,0.0,155,155,7
Cold start + gate,governed_reference,full TD3,275,-8.637045476756205,-6.157156683032469,2.4798887937237355,0.18125305385754875,0.039609090909090906,0.0,8433,8433,281
Cold start + gate,governed_reference,tail 50,50,-6.477937755091882,-4.761393244064851,1.716544511027032,0.16456936459846166,0.0361,0.0,1409,1409,35
Cold start no gate,bounded_mixed,BC,20,-113.19027046922574,-113.19027046922574,0.0,1.3022960415296387,0.0,0.01975,0,0,0
