case,batch,window,block,n_steps,reward_mean,reward_no_penalty_mean,output0_rmse,output1_rmse,output_rmse_mean,actual_intervention_rate,diagnostic_unsafe_rate
LMPC pretrained + gate,bounded_mixed,all episodes,S1 high,120000,-9.258175481916332,-7.473135747508599,0.1374560391626415,0.4143006847884361,0.27587836197553883,0.024825,0.0
LMPC pretrained + gate,bounded_mixed,all episodes,S2 low,120000,-9.952577558836337,-9.023425465329357,0.15833948826785402,0.431444692394379,0.2948920903311165,0.015091666666666666,0.0
LMPC pretrained + gate,bounded_mixed,tail 50,S1 high,20000,-6.60594455687695,-4.376583646728952,0.10704662388699208,0.21709788110973208,0.16207225249836207,0.04085,0.0
LMPC pretrained + gate,bounded_mixed,tail 50,S2 low,20000,-7.529175693236718,-5.780861774122043,0.12977908315848588,0.24527295353817222,0.18752601834832905,0.0395,0.0
LMPC pretrained + gate,governed_reference,all episodes,S1 high,120000,-9.973727265048687,-7.506377844135727,0.13581057883026515,0.38853958341928946,0.2621750811247773,0.04554166666666667,0.0
LMPC pretrained + gate,governed_reference,all episodes,S2 low,120000,-11.428573032142888,-10.124234833112267,0.16718154990247308,0.46180022461070486,0.31449088725658897,0.04174166666666667,0.0
LMPC pretrained + gate,governed_reference,tail 50,S1 high,20000,-8.826327078996043,-4.83389783427327,0.10195110788867819,0.21657307358142422,0.1592620907350512,0.0676,0.0
LMPC pretrained + gate,governed_reference,tail 50,S2 low,20000,-6.442643558780701,-5.308023868074717,0.12667068046074548,0.22876906665243962,0.17771987355659255,0.0315,0.0
OF-MPC pretrained + gate,bounded_mixed,all episodes,S1 high,120000,-8.65921466124895,-7.406855939068271,0.13635327637767358,0.4383586583047219,0.2873559673411977,0.020033333333333334,0.0
OF-MPC pretrained + gate,bounded_mixed,all episodes,S2 low,120000,-10.163093196452204,-9.02630479651924,0.1606071153421899,0.42399178255223163,0.29229944894721077,0.028108333333333332,0.0
OF-MPC pretrained + gate,bounded_mixed,tail 50,S1 high,20000,-5.228000884688519,-3.9828329148919925,0.1059450091061072,0.21849407433649615,0.16221954172130168,0.01995,0.0
OF-MPC pretrained + gate,bounded_mixed,tail 50,S2 low,20000,-7.463247432092394,-5.822663534419343,0.13398455364336778,0.25094379952910867,0.1924641765862382,0.05275,0.0
OF-MPC pretrained + gate,governed_reference,all episodes,S1 high,120000,-8.853745218547047,-6.808023386703218,0.13236149965578384,0.35808390760035913,0.24522270362807147,0.03944166666666667,0.0
OF-MPC pretrained + gate,governed_reference,all episodes,S2 low,120000,-12.843375190399192,-10.64785928568528,0.16761546680757033,0.48316173439039556,0.32538860059898295,0.046441666666666666,0.0
OF-MPC pretrained + gate,governed_reference,tail 50,S1 high,20000,-6.183855023777953,-4.01430458580576,0.10081194722705963,0.19881364633030663,0.14981279677868314,0.0337,0.0
