episode,step_start,step_stop_exclusive,n_steps,reward_mean,reward_sum,reward_no_penalty_mean,reward_no_penalty_sum,fallback_penalty_mean,fallback_penalty_sum,diagnostic_unsafe_count,diagnostic_unsafe_rate,diagnostic_unstable_count,diagnostic_unstable_rate,actual_intervention_count,actual_intervention_rate,accepted_candidate_count,fallback_count,fallback_verified_count,fallback_unverified_count,target_fail_hold_prev_count,solver_fail_hold_prev_count,target_failure_count,min_contraction_margin,max_executed_action_gap_inf,output_rmse_mean,output_max_abs_error,output0_rmse,output1_rmse,output0_max_abs_error,output1_max_abs_error,case,family,gate,phase
1,0,800,800,-25.16287910694619,-20130.30328555695,-24.950208346207145,-19960.16667696572,0.2126707607390391,170.13660859123135,0,0.0,0,0.0,17,0.02125,783,8,8,0,0,0,9,-80.70043708554476,0.068090116327419,0.5454985857800172,3.2331173841486702,0.2643977027019005,0.8265994688581338,1.2043073121593184,3.2331173841486702,Cold start + gate,Cold start,True,BC
2,800,1600,800,-35.691741371839946,-28553.393097471955,-35.55400015160336,-28443.20012128269,0.1377412202365772,110.1929761892618,0,0.0,0,0.0,11,0.01375,789,8,8,0,0,0,3,-40.60747565712421,0.1145957979549359,0.6840226806864471,3.594953748066416,0.3077972921643314,1.0602480692085627,1.3408821951882357,3.594953748066416,Cold start + gate,Cold start,True,BC
3,1600,2400,800,-19.330154150120386,-15464.123320096309,-19.217548842233374,-15374.0390737867,0.112605307887013,90.08424630961044,0,0.0,0,0.0,9,0.01125,791,5,5,0,0,0,4,-47.56856054678627,0.0736392224318771,0.4699881382979365,3.0960292340135425,0.2347447437745614,0.7052315328213117,1.1167378693111218,3.0960292340135425,Cold start + gate,Cold start,True,BC
4,2400,3200,800,-50.2946323079199,-40235.70584633592,-50.04421582147606,-40035.37265718085,0.2504164864438443,200.33318915507544,0,0.0,0,0.0,20,0.025,780,7,7,0,0,0,13,-96.35774351339704,0.2159945905208609,0.6386538223276487,2.6623079682802318,0.4096892208451922,0.867618423810105,1.3990292026276063,2.6623079682802318,Cold start + gate,Cold start,True,BC
5,3200,4000,800,-16.39716657226598,-13117.733257812784,-16.25955214402937,-13007.641715223495,0.1376144282366111,110.09154258928888,0,0.0,0,0.0,11,0.01375,789,9,9,0,0,0,2,-40.115493422824784,0.0781447139279931,0.5061070298831634,3.982383798528645,0.1884575622493045,0.8237564975170221,1.056216404400121,3.982383798528645,Cold start + gate,Cold start,True,BC
6,4000,4800,800,-33.97489426443866,-27179.91541155093,-33.687171710557806,-26949.737368446247,0.2877225538808538,230.17804310468304,0,0.0,0,0.0,23,0.02875,777,8,8,0,0,0,15,-162.6335216622947,0.0798002572730179,0.7129005678277649,6.309739925901681,0.2788449567620154,1.1469561788935143,1.085558638239298,6.309739925901681,Cold start + gate,Cold start,True,BC
7,4800,5600,800,-67.23282364378593,-53786.25891502875,-66.93248711053874,-53545.98968843099,0.3003365332472052,240.26922659776417,0,0.0,0,0.0,24,0.03,776,10,10,0,0,0,14,-71.73942846961597,0.1365773701667798,0.8820380765093723,4.400915426637653,0.4402525292965164,1.323823623722228,1.2003231814713833,4.400915426637653,Cold start + gate,Cold start,True,BC
8,5600,6400,800,-44.75237833107702,-35801.90266486161,-44.402031336659086,-35521.62506932727,0.3503469944179367,280.27759553434936,0,0.0,0,0.0,28,0.035,772,14,14,0,0,0,14,-97.79704310432328,0.1014732301235206,0.6718960195451035,4.091247303796536,0.369000502411405,0.974791536678802,1.2018468919612837,4.091247303796536,Cold start + gate,Cold start,True,BC
9,6400,7200,800,-12.594717958706669,-10075.774366965336,-12.519653865907472,-10015.723092725975,0.0750640927991968,60.051274239357454,0,0.0,0,0.0,6,0.0075,794,6,6,0,0,0,0,-15.62392331535483,0.0803291216030561,0.4085044358288049,4.143617869826414,0.1818456783735096,0.6351631932841002,1.105024237354336,4.143617869826414,Cold start + gate,Cold start,True,BC
10,7200,8000,800,-16.42179366494092,-13137.434931952735,-16.42179366494092,-13137.434931952735,0.0,0.0,0,0.0,0,0.0,0,0.0,800,0,0,0,0,0,0,-14.712247050085864,0.0,0.4382780801610875,3.022843364706887,0.2158170648336781,0.6607390954884969,1.1075873007397967,3.022843364706887,Cold start + gate,Cold start,True,BC
11,8000,8800,800,-12.977882556815992,-10382.306045452797,-12.915345659563936,-10332.276527651147,0.062536897252056,50.02951780164488,0,0.0,0,0.0,5,0.00625,795,5,5,0,0,0,0,-14.35997791568829,0.0591416360286847,0.383323425995752,2.9499944843393,0.1935670457599611,0.5730798062315428,1.1141723601570406,2.9499944843393,Cold start + gate,Cold start,True,BC
