case,family,gate,field,value,count,rate
Cold start + gate,Cold start,True,correction_mode,accepted_candidate,234841,0.9785041666666666
Cold start + gate,Cold start,True,correction_mode,fallback_mpc_verified,3790,0.015791666666666666
Cold start + gate,Cold start,True,correction_mode,gart_target_not_usable_hold_prev,1356,0.00565
Cold start + gate,Cold start,True,correction_mode,gart_solver_fail_hold_prev,13,5.4166666666666664e-05
Cold start + gate,Cold start,True,reject_reason,none,234841,0.9785041666666666
Cold start + gate,Cold start,True,reject_reason,lyapunov,3803,0.015845833333333333
Cold start + gate,Cold start,True,reject_reason,target_unavailable,1356,0.00565
Cold start + gate,Cold start,True,fallback_solver_status,none,234841,0.9785041666666666
Cold start + gate,Cold start,True,fallback_solver_status,optimal,3777,0.0157375
Cold start + gate,Cold start,True,fallback_solver_status,gart_target_not_usable_hold_prev,1356,0.00565
Cold start + gate,Cold start,True,fallback_solver_status,optimal_inaccurate,26,0.00010833333333333333
Cold start + gate,Cold start,True,target_rejection_reason,none,238644,0.99435
Cold start + gate,Cold start,True,target_rejection_reason,contraction_probe_failed,1356,0.00565
Cold start no gate,Cold start,False,correction_mode,mpc_only_diagnostic_bypass,240000,1.0
Cold start no gate,Cold start,False,reject_reason,none,234167,0.9756958333333333
Cold start no gate,Cold start,False,reject_reason,lyapunov,4409,0.018370833333333333
Cold start no gate,Cold start,False,reject_reason,target_unavailable,1424,0.005933333333333333
Cold start no gate,Cold start,False,fallback_solver_status,none,240000,1.0
Cold start no gate,Cold start,False,target_rejection_reason,none,238576,0.9940666666666667
Cold start no gate,Cold start,False,target_rejection_reason,contraction_probe_failed,1424,0.005933333333333333
OF-MPC pretrained + gate,OF-MPC pretrained,True,correction_mode,accepted_candidate,233352,0.9723
OF-MPC pretrained + gate,OF-MPC pretrained,True,correction_mode,fallback_mpc_verified,5766,0.024025
OF-MPC pretrained + gate,OF-MPC pretrained,True,correction_mode,gart_target_not_usable_hold_prev,871,0.003629166666666667
OF-MPC pretrained + gate,OF-MPC pretrained,True,correction_mode,gart_solver_fail_hold_prev,11,4.5833333333333334e-05
OF-MPC pretrained + gate,OF-MPC pretrained,True,reject_reason,none,233352,0.9723
OF-MPC pretrained + gate,OF-MPC pretrained,True,reject_reason,lyapunov,5777,0.024070833333333333
OF-MPC pretrained + gate,OF-MPC pretrained,True,reject_reason,target_unavailable,871,0.003629166666666667
OF-MPC pretrained + gate,OF-MPC pretrained,True,fallback_solver_status,none,233352,0.9723
OF-MPC pretrained + gate,OF-MPC pretrained,True,fallback_solver_status,optimal,5769,0.0240375
OF-MPC pretrained + gate,OF-MPC pretrained,True,fallback_solver_status,gart_target_not_usable_hold_prev,871,0.003629166666666667
OF-MPC pretrained + gate,OF-MPC pretrained,True,fallback_solver_status,optimal_inaccurate,8,3.3333333333333335e-05
OF-MPC pretrained + gate,OF-MPC pretrained,True,target_rejection_reason,none,239129,0.9963708333333333
OF-MPC pretrained + gate,OF-MPC pretrained,True,target_rejection_reason,contraction_probe_failed,871,0.003629166666666667
OF-MPC pretrained no gate,OF-MPC pretrained,False,correction_mode,mpc_only_diagnostic_bypass,240000,1.0
OF-MPC pretrained no gate,OF-MPC pretrained,False,reject_reason,none,228649,0.9527041666666667
OF-MPC pretrained no gate,OF-MPC pretrained,False,reject_reason,lyapunov,10230,0.042625
OF-MPC pretrained no gate,OF-MPC pretrained,False,reject_reason,target_unavailable,1121,0.004670833333333333
OF-MPC pretrained no gate,OF-MPC pretrained,False,fallback_solver_status,none,240000,1.0
OF-MPC pretrained no gate,OF-MPC pretrained,False,target_rejection_reason,none,238879,0.9953291666666667
OF-MPC pretrained no gate,OF-MPC pretrained,False,target_rejection_reason,contraction_probe_failed,1121,0.004670833333333333
