case,family,gate,phase,step_start,step_stop,n_steps,reward_mean,reward_no_penalty_mean,fallback_penalty_mean,fallback_penalty_sum,rmse_eta,rmse_T,rmse_mean,target_tracking_rmse_mean,diagnostic_unsafe_rate,actual_intervention_rate,fallback_verified_rate,reward_fallback_active_rate,target_success_rate,target_quality_ok_rate,candidate_contraction_ok_rate,applied_contraction_ok_rate,executed_action_gap_inf_mean,executed_action_gap_inf_max,target_mismatch_inf_mean,target_mismatch_inf_max,contraction_margin_candidate_max,contraction_margin_candidate_p95
Cold start + gate,Cold start,True,BC,0,16000,16000,-28.60704496364331,-28.44999460149712,0.15705036214619025,2512.805794339044,0.28358982084540263,0.8745311262143457,0.5790604735298741,0.3731378324361019,0.0,0.0156875,0.0080625,0.0156875,0.9925,,0.9843125,0.9904375,0.0007558609507518568,0.2159945905208609,1.051507885640824,8.705232100096286,0.0029643127247851453,-0.0026122483231475415
Cold start + gate,Cold start,True,handoff,16000,20000,4000,-12.139590894051295,-10.396222074621484,1.7433688194298087,6973.475277719235,0.16830301440932546,0.4114953251844508,0.2898991697968881,0.3208558315512298,0.0,0.0465,0.03625,0.0465,0.98975,,0.9535,0.98575,0.08325692992999285,10.140484425642706,0.7691530120439818,5.501167700016943,0.21232015131074888,-0.000887596926805239
Cold start + gate,Cold start,True,full_RL,20000,240000,220000,-7.111226399141706,-5.861377139610198,1.2498492595315074,274966.83709693165,0.12184311972840473,0.2600469225600449,0.19094502114422482,0.22274840995698136,0.0,0.021463636363636365,0.01598181818181818,0.021463636363636365,0.9945681818181819,,0.9785363636363636,0.9926954545454545,0.05554974086605254,16.788171739939102,0.48134740147498317,5.146886604539896,0.6163523943946103,-0.0021490144458767685
Cold start + gate,Cold start,True,last_50,200000,240000,40000,-7.089043265303281,-5.240103502471891,1.8489397628313897,73957.59051325559,0.12440874893498335,0.25493044503204404,0.1896695969835137,0.20452734895096186,0.0,0.034025,0.029,0.034025,0.99505,,0.965975,0.992,0.08215001937469615,16.788171739939102,0.400745123320461,5.109097986811491,0.6163523943946103,-0.0007037250256512164
Cold start no gate,Cold start,False,BC,0,16000,16000,-29.33023376247244,-29.33023376247244,0.0,0.0,0.28172992532472957,0.9392148514161699,0.6104723883704497,0.36706795771141,0.01325,0.0,0.0,0.0,0.9949375,,0.98675,0.98675,0.0,0.0,1.071677774767121,9.33125194042859,0.00273449543843185,-0.0029013476053278914
Cold start no gate,Cold start,False,handoff,16000,20000,4000,-8.373156058796077,-8.373156058796077,0.0,0.0,0.15259813623610652,0.4257367877650795,0.289167462000593,0.27907131403130514,0.11875,0.0,0.0,0.0,0.9895,,0.88125,0.88125,0.0,0.0,0.6148283763072275,5.090450785504375,0.2961097716229517,0.003405786052450151
Cold start no gate,Cold start,False,full_RL,20000,240000,220000,-5.041495618038592,-5.041495618038592,0.0,0.0,0.11507371839555772,0.23126054852604475,0.17316713346080123,0.2122592552511997,0.02339090909090909,0.0,0.0,0.0,0.9940863636363636,,0.9766090909090909,0.9766090909090909,0.0,0.0,0.4509172792331584,5.140607744791807,0.5835976218691599,-0.0016036530311288185
Cold start no gate,Cold start,False,last_50,200000,240000,40000,-3.9681503001321086,-3.9681503001321086,0.0,0.0,0.11289169365220864,0.1976936012490256,0.1552926474506171,0.18868542579134956,0.034225,0.0,0.0,0.0,0.99515,,0.965775,0.965775,0.0,0.0,0.34848499117930615,5.002757398320087,0.5552236597026194,-0.00048251095612355903
OF-MPC pretrained + gate,OF-MPC pretrained,True,BC,0,16000,16000,-16.792998137392065,-16.739237778481545,0.05376035891051859,860.1657425682974,0.214741443891734,0.7039271787292736,0.4593343113105038,0.2773771704012866,0.0,0.005375,0.0051875,0.005375,0.9998125,,0.994625,0.999,0.00011058576796712961,0.05273801455327298,0.673562744635898,7.472529192514319,0.00033885091267826795,-0.0009622473520047386
OF-MPC pretrained + gate,OF-MPC pretrained,True,handoff,16000,24000,8000,-31.614237817612615,-31.14101483949375,0.4732229781188647,3785.7838249509177,0.2768263357262983,1.0741012265477883,0.6754637811370433,0.41042311010816995,0.0,0.013625,0.00925,0.013625,0.995625,,0.986375,0.9935,0.019830570848309036,9.624146858952926,0.9592665415996565,9.557580008171293,0.4475443729981521,-0.0008504104757721589
