case,episode,step_start,step_stop_exclusive,n_steps,reward_mean,reward_sum,reward_no_penalty_mean,reward_no_penalty_sum,fallback_penalty_mean,fallback_penalty_sum,diagnostic_unsafe_count,diagnostic_unsafe_rate,diagnostic_unstable_count,diagnostic_unstable_rate,actual_intervention_count,actual_intervention_rate,projection_count,projection_rate,accepted_candidate_count,section16_projection_count,fallback_count,fallback_verified_count,fallback_unverified_count,target_fail_hold_prev_count,solver_fail_hold_prev_count,target_hold_prev_count,solver_hold_prev_count,gart_target_hold_prev_count,gart_solver_hold_prev_count,target_failure_count,min_contraction_margin,max_executed_action_gap_inf,output_rmse_mean,output_max_abs_error,output0_rmse,output1_rmse,output0_max_abs_error,output1_max_abs_error
Cold start + gate,1,0,800,800,-12.051116724489708,-9640.893379591766,-11.976021631388043,-9580.817305110437,0.0750950931016619,60.076074481329535,0,0.0,0,0.0,6,0.0075,0,0.0,794,0,6,6,0,0,0,0,0,0,0,0,-15.560862433205529,0.092845784959825,0.3777198397594462,2.967308304147707,0.1827425714275964,0.5726971080912959,1.1205454402323096,2.967308304147707
Cold start + gate,2,800,1600,800,-12.347393013995648,-9877.914411196518,-12.284853931026696,-9827.883144821357,0.0625390829689499,50.03126637515997,0,0.0,0,0.0,5,0.00625,0,0.0,795,0,5,5,0,0,0,0,0,0,0,0,-16.96029790409716,0.0700646477770363,0.3769152408045325,3.351615625750924,0.1882518811380112,0.5655786004710538,1.145268069322701,3.351615625750924
Cold start + gate,3,1600,2400,800,-27.80129593776361,-22241.03675021089,-27.613487921002488,-22090.79033680199,0.187808016761126,150.24641340890082,0,0.0,0,0.0,15,0.01875,0,0.0,785,0,9,9,0,0,0,6,0,6,0,6,-74.5577238109779,0.1755393335451935,0.628618873091815,3.805375401710592,0.2605539945483114,0.9966837516353186,1.129490040839646,3.805375401710592
Cold start + gate,4,2400,3200,800,-23.4725635336918,-18778.05082695344,-23.35993086503969,-18687.944692031757,0.1126326686521082,90.10613492168662,0,0.0,0,0.0,9,0.01125,0,0.0,791,0,8,8,0,0,0,1,0,1,0,1,-100.63926614802926,0.1070244152792736,0.5269812598558221,3.20583584776665,0.2557533065415586,0.7982092131700855,1.1934510789380974,3.20583584776665
Cold start + gate,5,3200,4000,800,-57.46464056183862,-45971.7124494709,-57.352076418282,-45881.6611346256,0.1125641435566318,90.05131484530544,0,0.0,0,0.0,9,0.01125,0,0.0,791,0,6,6,0,0,0,3,0,3,0,3,-61.443098526135714,0.0651427511038642,0.8800066355863669,3.601803433465136,0.3879705716924503,1.3720426994802837,1.1017618693942557,3.601803433465136
Cold start + gate,6,4000,4800,800,-32.75996904758325,-26207.9752380666,-32.484562809566526,-25987.65024765322,0.275406238016725,220.32499041338,0,0.0,0,0.0,22,0.0275,0,0.0,778,0,10,10,0,0,0,12,0,12,0,12,-90.52688103691467,0.1541746816690916,0.557117121059646,3.0235774631104846,0.3159730385888631,0.7982612035304288,1.232704764022659,3.0235774631104846
Cold start + gate,7,4800,5600,800,-82.84681563534768,-66277.45250827815,-82.59643562040675,-66077.1484963254,0.2503800149409341,200.3040119527473,0,0.0,0,0.0,20,0.025,0,0.0,780,0,2,2,0,0,0,18,0,18,0,18,-172.34739373498724,0.1146406286954878,1.1117288421984075,7.215120686480645,0.4486026611488024,1.7748550232480131,1.2512406191870702,7.215120686480645
Cold start + gate,8,5600,6400,800,-20.199960899457764,-16159.968719566212,-19.987229566181508,-15989.783652945209,0.2127313332762588,170.18506662100705,0,0.0,0,0.0,17,0.02125,0,0.0,783,0,10,10,0,0,0,7,0,7,0,7,-74.3286723618196,0.1068331652879708,0.4883606614837581,3.1121351648072846,0.2350910287383867,0.7416302942291294,0.9932079340794115,3.1121351648072846
Cold start + gate,9,6400,7200,800,-36.98603094276259,-29588.82475421007,-36.77326403364284,-29418.611226914272,0.2127669091197474,170.21352729579797,0,0.0,0,0.0,17,0.02125,0,0.0,783,0,12,12,0,0,0,5,0,5,0,5,-65.08442437579083,0.0950298144200516,0.6298699553917873,4.035214286531129,0.3309492423795338,0.9287906684040408,1.2774933713495549,4.035214286531129
Cold start + gate,10,7200,8000,800,-29.5297747254772,-23623.81978038176,-29.317054235348717,-23453.64338827897,0.2127204901284785,170.17639210278278,0,0.0,0,0.0,17,0.02125,0,0.0,783,0,7,7,0,0,0,10,0,10,0,10,-120.91579995958136,0.1050333139819774,0.5356331853146286,4.065380601525476,0.3026997927467181,0.7685665778825389,1.3111262229992495,4.065380601525476
Cold start + gate,11,8000,8800,800,-24.860185666895976,-19888.14853351678,-24.546237994659197,-19636.99039572736,0.313947672236778,251.15813778942243,0,0.0,0,0.0,24,0.03,0,0.0,776,0,18,18,0,0,0,6,0,6,0,6,-52.34976151822207,1.0994702844662854,0.6349658606452531,3.246698884893931,0.2257376701448063,1.0441940511456995,1.3082988948598815,3.246698884893931
Cold start + gate,12,8800,9600,800,-35.817478043731256,-28653.982434985,-35.19631729570617,-28157.05383656494,0.6211607480250805,496.9285984200644,0,0.0,0,0.0,39,0.04875,0,0.0,761,0,36,36,0,0,0,3,0,3,0,3,-57.18337112577967,2.0579800380113094,0.8262187738706627,4.009657277118379,0.2281714957099798,1.4242660520313457,1.2526749267399595,4.009657277118379
Cold start + gate,13,9600,10400,800,-44.36974384767187,-35495.7950781375,-43.12562572834355,-34500.50058267484,1.2441181193283222,995.2944954626578,0,0.0,0,0.0,50,0.0625,0,0.0,750,0,39,39,0,0,0,11,0,11,0,11,-95.33897362458627,3.756621246182778,0.8586707890050529,3.937742638238433,0.2773547184688448,1.439986859541261,1.514875401234545,3.937742638238433
Cold start + gate,14,10400,11200,800,-47.30064483910439,-37840.51587128351,-45.44947546875741,-36359.58037500593,1.8511693703469725,1480.935496277578,0,0.0,0,0.0,55,0.06875,0,0.0,745,0,53,53,0,0,0,2,0,2,0,2,-91.13312205674868,4.561878194425895,0.9227326523638328,4.7824715403396,0.2611565427888841,1.5843087619387817,1.4169974766294318,4.7824715403396
Cold start + gate,15,11200,12000,800,-39.286924132088345,-31429.539305670674,-36.720053436796846,-29376.04274943748,2.5668706952914957,2053.4965562331963,0,0.0,0,0.0,56,0.07,0,0.0,744,0,52,52,0,0,0,4,0,4,0,4,-76.84555311490692,6.178021979304487,0.8289513825491975,4.763015834355713,0.2297135759687076,1.4281891891296874,1.1854800510636294,4.763015834355713
Cold start + gate,16,12000,12800,800,-37.92991645758993,-30343.933166071947,-33.89275361126515,-27114.20288901212,4.03716284632478,3229.7302770598244,0,0.0,0,0.0,50,0.0625,0,0.0,750,0,49,49,0,0,0,1,0,1,0,1,-77.66337952428773,8.90549626403562,0.8125124892569152,4.542966695316068,0.1987511617194208,1.4262738167944096,1.2682495842787422,4.542966695316068
Cold start + gate,17,12800,13600,800,-38.283323057554895,-30626.658446043915,-34.40651590023938,-27525.2127201915,3.87680715731552,3101.445725852416,0,0.0,0,0.0,51,0.06375,0,0.0,749,0,48,48,0,0,0,3,0,3,0,3,-71.16479789141863,8.052261552213732,0.7524212145733997,4.504867311159444,0.2473444339169714,1.257497995229828,1.24112969913771,4.504867311159444
Cold start + gate,18,13600,14400,800,-36.748993368480434,-29399.194694784343,-29.654892925854146,-23723.914340683317,7.09410044262629,5675.280354101033,0,0.0,0,0.0,54,0.0675,0,0.0,746,0,50,50,0,0,0,3,1,3,1,3,-60.52652620073752,9.872368949651507,0.7242392079835415,3.725704420361581,0.1944308509292954,1.2540475650377876,1.148187963164902,3.725704420361581
Cold start + gate,19,14400,15200,800,-35.42705857984435,-28341.64686387548,-28.84850026022108,-23078.80020817686,6.578558319623268,5262.846655698615,0,0.0,0,0.0,56,0.07,0,0.0,744,0,56,56,0,0,0,0,0,0,0,0,-61.28819963686794,10.371120687383456,0.6991836256419387,3.7149340401689983,0.2081346485560941,1.1902326027277832,1.1039765500200729,3.7149340401689983
Cold start + gate,20,15200,16000,800,-31.29707447298108,-25037.65957838486,-25.726805398924707,-20581.44431913977,5.570269074056366,4456.215259245093,0,0.0,0,0.0,37,0.04625,0,0.0,763,0,36,36,0,0,0,1,0,1,0,1,-78.22587021326206,11.038435500854542,0.6800941924053668,4.269827426194013,0.1869257922366764,1.1732625925740572,1.104398229103588,4.269827426194013
Cold start + gate,21,16000,16800,800,-30.91526148438645,-24732.20918750916,-26.620830107181263,-21296.66408574501,4.294431377205182,3435.5451017641453,0,0.0,0,0.0,33,0.04125,0,0.0,767,0,33,33,0,0,0,0,0,0,0,0,-67.96616508323564,10.18702720266794,0.6621494991851937,3.9691534136104,0.1705444512009179,1.1537545471694697,1.103729118201802,3.9691534136104
Cold start + gate,22,16800,17600,800,-23.001397824209217,-18401.118259367373,-18.169528169207137,-14535.622535365708,4.831869655002079,3865.495724001663,0,0.0,0,0.0,43,0.05375,0,0.0,757,0,42,42,0,0,0,1,0,1,0,1,-75.67050995014858,9.217824793607814,0.5032226083214779,3.66812329226525,0.144015718910565,0.8624294977323907,1.0542026834195275,3.66812329226525
Cold start + gate,23,17600,18400,800,-24.4613299494626,-19569.06395957008,-18.357336942617405,-14685.869554093922,6.103993006845198,4883.194405476159,0,0.0,0,0.0,51,0.06375,0,0.0,749,0,46,46,0,0,0,5,0,5,0,5,-63.856055027600405,11.267311235332508,0.4597053490053042,3.0268269714700864,0.1657227620955713,0.7536879359150371,1.03988539692326,3.0268269714700864
Cold start + gate,24,18400,19200,800,-20.662879021638464,-16530.30321731077,-16.31120736574979,-13048.965892599834,4.3516716558886746,3481.33732471094,0,0.0,0,0.0,36,0.045,0,0.0,764,0,35,35,0,0,0,1,0,1,0,1,-55.31493425468966,13.170111989419937,0.4424945881158593,2.982461958416877,0.1481311434038173,0.7368580328279013,1.0349058105600997,2.982461958416877
