case,phase,steps,reward_no_penalty,training_reward,output_rmse_mean,eta_rmse,T_rmse,actual_intervention_rate,fallback_rate,diagnostic_unsafe_rate,accepted_rate,bc_teacher_gap_mean,max_action_gap
Cold start + gate,teacher critic,8000,-33.374491703188525,-33.54595610224079,0.6564075483582978,0.305378675663981,1.0074364210526146,0.017125,0.009375,0.0,0.99225,0.04954684817085856,0.1755393335451935
Cold start + gate,handoff,8000,-33.75671780207676,-37.13213424659425,0.7890890864947327,0.23407231941144033,1.3441058535780253,0.059,0.054625,0.0,0.995625,0.5643009971139712,11.038435500854542
Cold start + gate,full RL,224000,-7.074494701921797,-8.309250390864026,0.2644527169129058,0.13441510150556332,0.3944903323202482,0.016183035714285716,0.011191964285714286,0.0,0.9950089285714285,,19.959999999999333
Cold start no gate,teacher critic,8000,-36.632778448293735,-36.632778448293735,0.6793438208901184,0.3243668512076398,1.0343207905725968,0.0,0.0,0.02,1.0,0.04950033098237922,0.0
Cold start no gate,handoff,8000,-18.50189097496724,-18.50189097496724,0.49806422747623214,0.22140983526668434,0.7747186196857799,0.0,0.0,0.18375,1.0,0.5388966188177404,0.0
Cold start no gate,full RL,224000,-5.319117874087256,-5.319117874087256,0.21285200880289212,0.129557153857044,0.2961468637487403,0.0,0.0,0.017080357142857144,1.0,,0.0
OF-MPC pretrained + gate,teacher critic,8000,-24.724378582811465,-24.851901775524244,0.5497395821953978,0.2710836657306926,0.828395498660103,0.01275,0.008,0.0,0.99525,0.019832428372934315,0.0525337300240225
OF-MPC pretrained + gate,handoff,8000,-16.410156365459148,-17.465582360966565,0.5849459572141026,0.16011071513733152,1.0097811992908736,0.046375,0.044625,0.0,0.99825,0.2499642818275641,8.60597103320299
OF-MPC pretrained + gate,full RL,224000,-5.236014728121293,-6.473956895497731,0.21715413818527568,0.13788932100069948,0.29641895536985186,0.019058035714285715,0.01420982142857143,0.0,0.9951517857142858,,17.048882748136265
OF-MPC pretrained no gate,teacher critic,8000,-18.404895058394825,-18.404895058394825,0.46064760840059615,0.2385079356320853,0.682787281169107,0.0,0.0,0.01225,1.0,0.019819315164198666,0.0
OF-MPC pretrained no gate,handoff,8000,-8.923381920839153,-8.923381920839153,0.36826025916010763,0.15173700439910484,0.5847835139211104,0.0,0.0,0.0325,1.0,0.21155266503087986,0.0
OF-MPC pretrained no gate,full RL,224000,-4.216946941090404,-4.216946941090404,0.1937074670455376,0.1277354775561377,0.2596794565349375,0.0,0.0,0.02853125,1.0,,0.0
