episodes,steps,reward_no_penalty,training_reward,output_rmse_mean,eta_rmse,T_rmse,diagnostic_unsafe_rate,actual_intervention_rate,fallback_rate,target_failure_rate,max_episode_output_error,min_contraction_margin,case,run_id,phase
10.0,8000.0,-31.786401626775653,-31.786401626775653,0.6289169464009097,0.2953529710228685,0.9624809217789508,0.01,0.0,0.0,0.00125,4.569498376484546,-193.2440187144316,Cold start no gate,20260620_003041,teacher
10.0,8000.0,-18.605023074119085,-18.605023074119085,0.4160727346990914,0.23758533951705282,0.5945601298811299,0.101125,0.0,0.0,0.000875,3.2708003948167175,-91.4989767360646,Cold start no gate,20260620_003041,handoff
280.0,224000.0,-4.521110921013418,-4.521110921013418,0.18401939722804808,0.11682491684273777,0.2512138776133584,0.09381696428571429,0.0,0.0,0.0028080357142857143,3.0123554963751076,-81.68895039054314,Cold start no gate,20260620_003041,full_rl
100.0,80000.0,-4.050089956432391,-4.050089956432391,0.15966933008344023,0.11337445181782756,0.2059642083490529,0.0326125,0.0,0.0,0.0037125,2.711162785241811,-77.61261732616822,Cold start no gate,20260620_003041,late100
10.0,8000.0,-23.741450883563715,-23.741450883563715,0.551784013262343,0.2519566083947198,0.8516114181299663,0.0,0.00825,0.007125,0.001125,4.5786053551472605,-97.3722981395374,Cold start + gate,20260620_003031,teacher
10.0,8000.0,-17.4345265557529,-17.4345265557529,0.3913887015812359,0.22449298804109794,0.5582844151213738,0.0,0.043,0.041125,0.0015,3.6229283337467564,-83.53341562581397,Cold start + gate,20260620_003031,handoff
280.0,224000.0,-5.162556505204158,-5.162556505204158,0.190074699020079,0.12425235261674025,0.25589704542341773,0.0,0.026571428571428572,0.02435267857142857,0.0021651785714285714,3.1389648078874757,-79.03611865694825,Cold start + gate,20260620_003031,full_rl
100.0,80000.0,-5.01934677295484,-5.01934677295484,0.1845723308969509,0.1241404452032683,0.2450042165906335,0.0,0.0232875,0.0210625,0.0022,3.0450687231859774,-77.80128894859433,Cold start + gate,20260620_003031,late100
10.0,8000.0,-20.282362273331564,-20.282362273331564,0.49255097235627815,0.2390181542729822,0.7460837904395741,0.006375,0.0,0.0,0.00025,4.231747186928828,-142.24295356169432,OF-MPC pretrained no gate,20260620_003020,teacher
10.0,8000.0,-7.379477658780965,-7.379477658780965,0.28255167134529846,0.14332977907255018,0.4217735636180467,0.01475,0.0,0.0,0.002,4.826821817899997,-106.6412068620416,OF-MPC pretrained no gate,20260620_003020,handoff
280.0,224000.0,-4.108951198668959,-4.108951198668959,0.1615783276527164,0.11443554243500263,0.20872111287043016,0.028616071428571428,0.0,0.0,0.0024285714285714284,3.128538140829221,-91.46943588141892,OF-MPC pretrained no gate,20260620_003020,full_rl
100.0,80000.0,-3.9912158215571116,-3.9912158215571116,0.15663309968360994,0.11355724650847725,0.19970895285874263,0.0214,0.0,0.0,0.0026,2.8179827365586902,-78.66618694812325,OF-MPC pretrained no gate,20260620_003020,late100
10.0,8000.0,-23.687850476364822,-23.687850476364822,0.544693176785703,0.2548739199387493,0.8345124336326566,0.0,0.006875,0.006,0.000875,5.025298417812849,-170.5101477057542,OF-MPC pretrained + gate,20260620_002952,teacher
10.0,8000.0,-9.040840566254502,-9.040840566254502,0.35824356742342617,0.14357143459989485,0.5729157002469575,0.0,0.02025,0.018,0.00225,4.812890940367254,-64.4298619093197,OF-MPC pretrained + gate,20260620_002952,handoff
280.0,224000.0,-5.182452038322676,-5.182452038322676,0.18829228245593793,0.12521492909895407,0.2513696358129218,0.0,0.014611607142857143,0.011924107142857143,0.0026785714285714286,3.2780991645832387,-89.38132911038929,OF-MPC pretrained + gate,20260620_002952,full_rl
100.0,80000.0,-5.0863316705808295,-5.0863316705808295,0.1851759817702225,0.12475452206675597,0.245597441473689,0.0,0.01055,0.0077375,0.0028125,3.069153785905712,-79.98554414290595,OF-MPC pretrained + gate,20260620_002952,late100
