step,y_eta,y_T,sp_eta,sp_T,ys_eta,ys_T,u_Qc,u_Qm,us_Qc,us_Qm,us_corner,status,method,bounded_lower_count,bounded_upper_count,target_stage,target_residual,V_k,slack
220,4.498,324.017,4.500,324.000,4.500,324.000,621.9,496.8,870.0,625.1,UI,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_bounded_ls,4.29e-04,0.008,0.000
221,4.498,324.015,4.500,324.000,4.500,324.000,623.1,495.7,868.9,624.5,II,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_exact_bounded,1.39e-17,0.008,0.000
222,4.497,324.011,4.500,324.000,4.500,324.000,623.1,495.8,827.8,636.5,II,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_exact_bounded,1.39e-17,0.007,0.000
223,4.497,324.007,4.500,324.000,4.500,324.000,623.1,495.8,773.8,657.5,II,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_exact_bounded,3.18e-17,0.006,0.000
224,4.496,324.003,4.500,324.000,4.500,324.000,623.1,495.9,723.9,670.0,IU,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_bounded_ls,0.001,0.005,0.000
225,4.496,323.999,4.500,324.000,4.499,324.000,623.1,496.0,676.5,670.0,IU,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_bounded_ls,0.004,0.003,0.000
226,4.495,323.996,4.500,324.000,4.498,323.999,655.2,550.1,646.9,670.0,IU,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_bounded_ls,0.007,0.002,0.000
227,4.498,324.044,4.500,324.000,4.498,323.999,671.0,611.3,630.7,670.0,IU,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_bounded_ls,0.010,0.002,0.000
228,4.510,324.145,4.500,324.000,4.487,324.072,671.2,611.0,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,0.109,0.077,0.000
229,4.532,324.237,4.500,324.000,4.490,324.735,671.8,609.9,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,0.941,5.375,0.000
230,4.559,324.318,4.500,324.000,4.499,325.167,672.7,608.2,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,1.494,12.758,0.000
231,4.590,324.390,4.500,324.000,4.513,325.365,673.8,605.8,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,1.748,16.049,0.000
232,4.621,324.450,4.500,324.000,4.534,325.410,674.9,603.0,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,1.811,15.562,0.000
233,4.650,324.502,4.500,324.000,4.560,325.369,676.0,599.6,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,1.772,13.330,0.000
234,4.678,324.543,4.500,324.000,4.587,325.282,677.0,595.8,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,1.686,10.851,0.000
235,4.702,324.575,4.500,324.000,4.614,325.172,678.0,591.5,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,1.585,8.860,0.000
236,4.723,324.599,4.500,324.000,4.640,325.050,678.9,586.9,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,0,frozen_output_disturbance_bounded_ls,1.484,7.590,0.000
237,4.741,324.615,4.500,324.000,4.662,324.923,679.7,582.0,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,1.389,7.017,0.000
238,4.755,324.622,4.500,324.000,4.681,324.794,74.3,120.6,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,1.302,7.016,0.000
239,4.737,324.244,4.500,324.000,4.696,324.665,74.3,120.6,870.0,78.0,UL,infeasible,solver_fail_hold_prev,1,1,frozen_output_disturbance_bounded_ls,1.226,n/a,0.000
240,4.681,323.918,4.500,324.000,4.707,322.296,73.3,118.3,71.6,670.0,LU,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,2.372,64.601,0.000
241,4.603,323.639,4.500,324.000,4.694,320.381,72.4,118.5,71.6,670.0,LU,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,4.713,186.442,0.000
242,4.515,323.404,4.500,324.000,4.658,319.517,71.7,120.5,71.6,670.0,LU,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,5.781,245.188,0.000
243,4.420,323.214,4.500,324.000,4.600,319.352,71.6,124.1,71.6,670.0,LU,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,5.965,233.992,0.000
244,4.323,323.065,4.500,324.000,4.526,319.580,71.6,129.2,71.6,670.0,LU,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,5.657,187.879,0.000
245,4.225,322.958,4.500,324.000,4.441,320.015,71.6,135.5,71.6,670.0,LU,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,5.106,134.919,0.000
246,4.127,322.889,4.500,324.000,4.352,320.556,71.6,143.1,71.6,670.0,LU,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,4.457,89.795,0.000
247,4.030,322.859,4.500,324.000,4.262,321.152,71.6,151.8,71.6,670.0,LU,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,3.798,58.321,0.000
248,3.934,322.866,4.500,324.000,4.174,321.779,71.6,161.5,71.6,670.0,LU,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,3.199,41.782,0.000
249,3.840,322.907,4.500,324.000,4.090,322.423,71.6,172.0,71.6,670.0,LU,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,2.737,39.448,0.000
