step,y_eta,y_T,sp_eta,sp_T,ys_eta,ys_T,u_Qc,u_Qm,us_Qc,us_Qm,us_corner,status,method,bounded_lower_count,bounded_upper_count,target_stage,target_residual,V_k,slack
220,4.498,324.017,4.500,324.000,4.500,324.000,621.9,496.8,870.0,625.1,UI,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_bounded_ls,4.29e-04,0.008,1.61e-16
221,4.498,324.015,4.500,324.000,4.500,324.000,623.1,495.7,868.9,624.5,II,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_exact_bounded,1.40e-17,0.008,0.000
222,4.497,324.011,4.500,324.000,4.500,324.000,623.1,495.8,827.8,636.5,II,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_exact_bounded,2.78e-17,0.007,9.24e-17
223,4.497,324.007,4.500,324.000,4.500,324.000,623.1,495.8,773.8,657.5,II,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_exact_bounded,2.78e-17,0.006,1.84e-17
224,4.496,324.003,4.500,324.000,4.500,324.000,623.1,495.9,723.9,670.0,IU,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_bounded_ls,0.001,0.005,1.65e-17
225,4.496,323.999,4.500,324.000,4.499,324.000,623.1,496.0,676.5,670.0,IU,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_bounded_ls,0.004,0.003,0.000
226,4.495,323.996,4.500,324.000,4.498,323.999,655.2,550.1,646.9,670.0,IU,optimal_inaccurate,direct_lyapunov_mpc,0,0,frozen_output_disturbance_bounded_ls,0.007,0.002,7.51e-16
227,4.498,324.044,4.500,324.000,4.498,323.999,671.0,611.3,630.7,670.0,IU,optimal,direct_lyapunov_mpc,0,0,frozen_output_disturbance_bounded_ls,0.010,0.002,2.53e-17
228,4.510,324.145,4.500,324.000,4.487,324.072,671.2,611.0,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,0.109,0.077,1.98e-17
229,4.532,324.237,4.500,324.000,4.490,324.735,671.8,609.9,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,0.941,5.375,5.71e-17
230,4.559,324.318,4.500,324.000,4.499,325.167,672.7,608.2,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,1.494,12.758,2.01e-16
231,4.590,324.390,4.500,324.000,4.513,325.365,673.8,605.8,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,1.748,16.049,1.67e-16
232,4.621,324.450,4.500,324.000,4.534,325.410,674.9,603.0,870.0,78.0,UL,optimal,direct_lyapunov_mpc,1,1,frozen_output_disturbance_bounded_ls,1.811,15.562,1.71e-16
