pretraining,mode,controller,reward_mean,eta_rmse,T_rmse,mean_rmse,eta_iae,T_iae,mean_abs_du,solver_success_rate,contraction_satisfied_rate,diagnostic_unsafe_count
OF-MPC labels,nominal,TD3,-8.185171019266058,0.2686869088815964,0.7109016236221445,0.4897942662518705,307.8466017455409,774.036749299624,1.0097124385565357,,,
OF-MPC labels,nominal,OF-MPC baseline,-3.764822659745128,0.1799628010970705,0.5309015019699377,0.3554321515335041,100.99803995749792,399.1360938808047,0.6460897659523879,,,
OF-MPC labels,disturb,TD3,-6.261413760656305,0.2307255753536563,0.7135020927491785,0.4721138340514174,241.3411482933101,828.829310099905,0.9942546464563388,,,
OF-MPC labels,disturb,OF-MPC baseline,-3.773174151477416,0.1800516509069018,0.5338243886646177,0.3569380197857597,112.70026518436758,451.9529561445975,0.6775973171439029,,,
LMPC labels,nominal,td3,-14.507629978074856,0.3373406430786089,1.3338718692784457,0.8356062561785274,431.0915326799914,1573.8181386436495,1.6432062463130128,,,
LMPC labels,nominal,direct_lmpc,-3.765128579613028,0.1799809069400817,0.5306958945056726,0.3553384007228771,100.94817022282298,398.5805303800997,0.6461691247539624,1.0,1.0,0.0
LMPC labels,nominal,offset_free_mpc,-3.764795696760709,0.1799700569831869,0.530733091590494,0.3553515742868404,100.9662050967975,398.7053433679814,0.6461369618699764,1.0,1.0,0.0
LMPC labels,disturb,td3,-13.553993473090372,0.3453956627707006,0.9246365326917034,0.635016097731202,448.3368642708896,1128.1623738496642,1.2833745861654895,,,
LMPC labels,disturb,direct_lmpc,-3.789466625721908,0.1805585070329537,0.5323494435645972,0.3564539752987755,114.98339441220298,450.3777259716527,0.6933206356368085,1.0,1.0,0.0
LMPC labels,disturb,offset_free_mpc,-3.7736769462028894,0.1800729986575126,0.5336647668824996,0.3568688827700061,112.76377242192773,451.8008446627327,0.6775386943931206,1.0,0.9975,4.0
