item,match,lmpc,of_mpc
training min_max_dict,yes,"{""u_max"": [9.959999999999999, 7.300000000000001], ""u_min"": [-10.0, -7.5], ""x_max"": [256.79686253, 256.01560603, 48.99447186, 144.79949103, 2.82199733, 3.14014989, 2.78866348, 3.71691422, 6.2029936], ""x_min"": [-272.28060121, -1112.33972595, -76.63993491, -608.60327886, -3.94399122, -3.93115257, -2.9532091, -4.06547624, -28.25906582], ""y_sp_max"": [5.0077694941991995, 3.065127706871306], ""y_sp_min"": [-4.917664429338595, -4.6120493483253995]}","{""u_max"": [9.959999999999999, 7.300000000000001], ""u_min"": [-10.0, -7.5], ""x_max"": [256.79686253, 256.01560603, 48.99447186, 144.79949103, 2.82199733, 3.14014989, 2.78866348, 3.71691422, 6.2029936], ""x_min"": [-272.28060121, -1112.33972595, -76.63993491, -608.60327886, -3.94399122, -3.93115257, -2.9532091, -4.06547624, -28.25906582], ""y_sp_max"": [5.0077694941991995, 3.065127706871306], ""y_sp_min"": [-4.917664429338595, -4.6120493483253995]}"
training TD3 setpoint scaler,yes,"[[  2.8, 320. ],
 [  5. , 326. ]]","[[  2.8, 320. ],
 [  5. , 326. ]]"
state bounds source,yes,default_polymer_td3,default_polymer_td3
setpoint bounds source,yes,default_polymer_td3_scaler,default_polymer_td3_scaler
physical input lower bounds,yes,"[71.6, 78. ]","[71.6, 78. ]"
physical input upper bounds,yes,"[870., 670.]","[870., 670.]"
MPC output weights,yes,"[5., 1.]","[5., 1.]"
MPC input weights,yes,"[1., 1.]","[1., 1.]"
TD3 actor hidden layers,yes,"[256., 256., 256.]","[256., 256., 256.]"
TD3 critic hidden layers,yes,"[256., 256., 256.]","[256., 256., 256.]"
comparison setpoint scaler,yes,"[[  2.8, 320. ],
 [  5. , 326. ]]","[[  2.8, 320. ],
 [  5. , 326. ]]"
comparison y_sp_min,yes,"[-4.917664, -4.612049]","[-4.917664, -4.612049]"
comparison y_sp_max,yes,"[5.007769, 3.065128]","[5.007769, 3.065128]"
comparison rollout setpoints,yes,"[[  4.5, 324. ],
 [  3.4, 321. ]]","[[  4.5, 324. ],
 [  3.4, 321. ]]"
