case,batch,run_dir,n_steps,initial_agent,bc_noise,bc_std,handoff_std_end,full_std_start,reward_mean,reward_no_penalty_mean,fallback_penalty_mean,output_rmse_mean,tail50_reward_no_penalty,tail50_reward,tail50_fallback_penalty,tail50_output_rmse_mean,actual_intervention_rate,diagnostic_unsafe_rate,accepted_rate,fallback_verified_rate,mean_abs_du_phys,max_abs_du_phys,teacher_gap_mean,teacher_gap_tail50,handoff_gap_mean,executed_gap_mean
LMPC pretrained + gate,old_noise,results/OnlineTD3_LMPCPretrained_SafetyGate/20260611_000544,240000,lmpc_pretrained_td3_20260610_173834.pkl,gaussian,0.02,nan,0.02,-9.605376520376335,-8.248280606418978,1.3570959139573573,nan,-5.078722710425498,-7.0675601250568345,1.9888374146313368,0.17464069562569454,0.019958333333333335,0.0,0.998025,0.017983333333333334,8.760140139748396,628.4045069087857,0.20120321444934575,nan,0.3504000847128747,0.05661327699002579
LMPC pretrained + gate,low_noise,results/OnlineTD3_LMPCPretrained_SafetyGate/20260612_011534,240000,lmpc_pretrained_td3_20260611_231823.pkl,none,0.0,0.005,0.02,-1172.6109883529487,-1171.2217123069358,1.3892760460123181,nan,-4.924372401160287,-6.405621115683844,1.4812487145235553,0.1784936318106552,0.019066666666666666,0.0,0.9981333333333333,0.0172,11.150174671458899,789.567412185669,0.11350673973404746,nan,0.7464548903598537,0.056882311707841395
OF-MPC pretrained + gate,old_noise,results/OnlineTD3_OFMPCPretrained_SafetyGate/20260611_000552,240000,of_mpc_pretrained_td3_20260610_153921.pkl,gaussian,0.02,nan,0.02,-9.411153928850576,-8.216580367793757,1.1945735610568207,nan,-4.902748224655667,-6.345624158390455,1.4428759337347885,0.17692106684556944,0.024070833333333333,0.0,0.9987166666666667,0.0227875,8.406631857422521,738.8023460799038,0.1877183479687778,nan,0.20498618207025274,0.05613116378975186
OF-MPC pretrained + gate,low_noise,results/OnlineTD3_OFMPCPretrained_SafetyGate/20260612_011542,240000,of_mpc_pretrained_td3_20260610_153921.pkl,none,0.0,0.005,0.02,-203.82690244687754,-202.51908478578093,1.3078176610966161,nan,-5.844277643924926,-8.723679920511856,2.8794022765869305,0.187744680150409,0.017766666666666667,0.0,0.999475,0.017241666666666666,10.227452057751067,793.2451111316681,0.035861824947857085,nan,0.43400669478910764,0.05190367232849944
LMPC pretrained no gate,old_noise,results/OnlineTD3_LMPCPretrained_NoSafetyGate/20260611_000541,240000,lmpc_pretrained_td3_20260610_173834.pkl,gaussian,0.02,nan,0.02,-70.24651174318332,-70.24651174318332,0.0,nan,-4.286090328783253,-4.286090328783253,0.0,0.16765577198970127,0.0,0.024845833333333334,1.0,0.0,7.098986129328949,798.4,0.19237769848890118,nan,0.20646713618334286,0.0
LMPC pretrained no gate,low_noise,results/OnlineTD3_LMPCPretrained_NoSafetyGate/20260612_011530,240000,lmpc_pretrained_td3_20260611_231823.pkl,none,0.0,0.005,0.02,-147.06118979832726,-147.06118979832726,0.0,nan,-4.093965687035875,-4.093965687035875,0.0,0.15966651830619985,0.0,0.03172916666666667,1.0,0.0,9.079837682741575,796.8853342533112,0.07808046858410012,nan,0.5614832911473244,0.0
OF-MPC pretrained no gate,old_noise,results/OnlineTD3_OFMPCPretrained_NoSafetyGate/20260611_000548,240000,of_mpc_pretrained_td3_20260610_153921.pkl,gaussian,0.02,nan,0.02,-6.858243400035228,-6.858243400035228,0.0,nan,-4.036229490684147,-4.036229490684147,0.0,0.1570550141025229,0.0,0.04965833333333333,1.0,0.0,6.334427926621108,442.21832032203673,0.18440208028785687,nan,0.15774392988997737,0.0
OF-MPC pretrained no gate,low_noise,results/OnlineTD3_OFMPCPretrained_NoSafetyGate/20260612_011538,240000,of_mpc_pretrained_td3_20260610_153921.pkl,none,0.0,0.005,0.02,-16.103588296791376,-16.103588296791376,0.0,nan,-4.194599107758145,-4.194599107758145,0.0,0.15831686825741015,0.0,0.024879166666666667,1.0,0.0,8.303375463965132,746.9114057540894,0.030295031478609787,nan,0.38645044676711054,0.0
Cold start + gate,old_noise,results/OnlineTD3_ColdStart_SafetyGate/20260611_000537,240000,,gaussian,0.1,nan,0.1,-18.240784342094766,-16.879936909412056,1.3608474326827127,nan,-5.012522211831621,-7.146292687722466,2.1337704758908465,0.17057990499677078,0.0229,0.0,0.997875,0.020775,21.52591767336544,755.3335916519164,0.8908755401947285,nan,0.6700907949791012,0.0628224513129521
Cold start + gate,low_noise,results/OnlineTD3_ColdStart_SafetyGate/20260612_011526,240000,,gaussian,0.005,0.01,0.1,-7.823116068682991,-6.709830861773379,1.113285206909611,nan,-4.895649726180252,-6.590201980875314,1.6945522546950622,0.17287873217300845,0.018308333333333333,0.0,0.9988166666666667,0.017125,19.159622842818166,722.1403012511446,0.06427876104535017,nan,0.18976368735910426,0.05054786287097737
Cold start no gate,old_noise,results/OnlineTD3_ColdStart_NoSafetyGate/20260611_000534,240000,,gaussian,0.1,nan,0.1,-12.360769054060448,-12.360769054060448,0.0,nan,-3.978708635153989,-3.978708635153989,0.0,0.15613125665530864,0.0,0.036229166666666666,1.0,0.0,18.997368071687717,494.1179928779602,0.8872956044114945,nan,0.6576517144173988,0.0
Cold start no gate,low_noise,results/OnlineTD3_ColdStart_NoSafetyGate/20260612_011522,240000,,gaussian,0.005,0.01,0.1,-5.609634144266522,-5.609634144266522,0.0,nan,-3.9635606144811018,-3.9635606144811018,0.0,0.1558593130763616,0.0,0.03535,1.0,0.0,17.15330329579129,537.6541475534439,0.06766441972915696,nan,0.2100115679725417,0.0
