case,batch,phase,n_episodes,reward_no_penalty,reward,fallback_penalty,output_rmse,actual_intervention_rate,diagnostic_unsafe_rate,teacher_gap,handoff_gap,executed_gap
LMPC pretrained + gate,old_noise,BC,20,-28.772233575996275,-28.862904092689625,0.0906705166933505,0.5771195571795148,0.008937500000000003,0.0,0.19662309619407053,nan,0.0015867714788765951
LMPC pretrained + gate,old_noise,handoff,5,-18.865390885367756,-18.959979059223738,0.09458817385598424,0.4598605081254221,0.00475,0.0,0.21952368747044648,0.35040008471287465,0.005761120031669584
LMPC pretrained + gate,old_noise,early full,50,-10.97212571061915,-11.646804990421044,0.6746792798018931,0.3531881444433151,0.008374999999999999,0.0,nan,nan,0.027567373299941078
LMPC pretrained + gate,old_noise,mid full,175,-5.72668648529541,-7.279066989651975,1.552380504356564,0.20208399973265168,0.019185714285714285,0.0,nan,nan,0.061675794091750766
LMPC pretrained + gate,old_noise,tail 50,50,-5.078722710425498,-7.0675601250568345,1.9888374146313368,0.17464069562569454,0.04017500000000001,0.0,nan,nan,0.09503618872436835
LMPC pretrained + gate,low_noise,BC,20,-12.420579820810927,-12.420579820810927,0.0,0.37725283319496583,0.0,0.0,7.407063806160775e-08,nan,0.0
LMPC pretrained + gate,low_noise,handoff,5,-103.21529149512028,-103.22352565655895,0.00823416143865588,0.9785644673532516,0.00075,0.0,0.567533402387685,0.7464548903598538,0.0003723852250996934
LMPC pretrained + gate,low_noise,early full,50,-6986.501392195197,-6987.827517057755,1.3261248625584474,3.8462981726537904,0.011025,0.0,nan,nan,0.04455430042405462
LMPC pretrained + gate,low_noise,mid full,175,-5.889928047835287,-7.4692021286490125,1.579274080813726,0.21657127149432479,0.021407142857142857,0.0,nan,nan,0.06589507092768522
LMPC pretrained + gate,low_noise,tail 50,50,-4.924372401160287,-6.405621115683844,1.4812487145235553,0.1784936318106552,0.028374999999999997,0.0,nan,nan,0.06606958305358551
OF-MPC pretrained + gate,old_noise,BC,20,-32.88804597666151,-34.26729022515961,1.3792442484980938,0.6327340024656564,0.017375,0.0,0.19658271634645982,nan,0.04701624134361565
OF-MPC pretrained + gate,old_noise,handoff,5,-23.282261499524584,-23.348242062286282,0.0659805627617003,0.5927566272293256,0.00225,0.0,0.15226087445804976,0.2049861820702527,0.003364465946508035
OF-MPC pretrained + gate,old_noise,early full,50,-11.534103538176915,-12.27681654193647,0.7427130037595571,0.3373705443306671,0.0076500000000000005,0.0,nan,nan,0.027763389259554988
OF-MPC pretrained + gate,old_noise,mid full,175,-4.9654816866608265,-6.229355021852592,1.263873335191763,0.18191511609367006,0.026642857142857145,0.0,nan,nan,0.06179233955417472
OF-MPC pretrained + gate,old_noise,tail 50,50,-4.902748224655667,-6.345624158390455,1.4428759337347885,0.17692106684556944,0.03635,0.0,nan,nan,0.07360746190724751
OF-MPC pretrained + gate,low_noise,BC,20,-12.419647663735557,-12.419647663735557,0.0,0.3772560413096878,0.0,0.0,7.433813503900967e-08,nan,0.0
