case,comparison,delta_mean_reward_no_penalty,delta_tail50_reward_no_penalty,delta_tail50_rmse,delta_actual_intervention_pp,delta_diagnostic_unsafe_pp,delta_mean_abs_du_phys,delta_BC_reward,delta_BC_rmse,delta_handoff_reward,delta_handoff_rmse,delta_early full_reward,delta_early full_rmse,delta_mid full_reward,delta_mid full_rmse,delta_tail 50_reward,delta_tail 50_rmse
LMPC pretrained + gate,handoff_calibrated - critic_reset,0.7136923816158847,1.0964173358209672,-0.021093054559516877,-1.7429166666666667,0.0,-1.8446951118171881,-2.684500710614657e-07,3.4732275944193702e-09,18.613864420510566,-0.3316475242046759,-0.05627024950957171,0.003864060219445409,0.6241202446280152,-0.013979467943891905,1.0964173358209672,-0.021093054559516877
LMPC pretrained + gate,handoff_calibrated - low_noise,1165.6419279177328,0.7286488115759111,-0.016477991100912026,-1.45875,0.0,-5.109973000892393,-0.001504543484248444,-2.072242318829076e-05,90.63109831959967,-0.5980762357664183,6980.16113905266,-3.6100650506934047,1.3437347471664092,-0.045983412624583525,0.7286488115759111,-0.016477991100912026
LMPC pretrained + gate,handoff_calibrated - old_noise,2.668496217215929,0.8829991208411219,-0.012625054915951367,-1.5479166666666668,0.0,-2.7199384691818898,16.3501492117011,-0.19988744640773726,6.28119770984714,-0.0793722765385888,4.631872568081603,-0.1169550224829296,1.180493184626532,-0.031496140862910416,0.8829991208411219,-0.012625054915951367
LMPC pretrained no gate,handoff_calibrated - critic_reset,-0.1125510871058033,0.05314479135063799,0.0008413530095948973,0.0,-5.942083333333334,0.04769489989102649,0.0,0.0,11.18773994839752,-0.2311842638576715,-0.7964682076297338,0.010519530398772237,-0.058181021526646504,0.003620987790466268,0.05314479135063799,0.0008413530095948973
LMPC pretrained no gate,handoff_calibrated - low_noise,141.7000760632057,0.16683516729166614,-0.003686989809189495,0.0,-2.6766666666666667,-3.3068087632335255,-0.0034007124108441644,-2.6928317597985085e-07,99.45056442003182,-0.43734459102875994,836.5206388652812,-1.3668123833216492,1.2618313472785987,-0.0345998434945827,0.16683516729166614,-0.003686989809189495
LMPC pretrained no gate,handoff_calibrated - old_noise,64.88539800806176,0.3589598090390438,-0.011676243492690919,0.0,-1.9883333333333337,-1.3259572098209,4.691278308953738,-0.07863069977082998,-1.3936285768992214,-0.01284360450067662,385.9193733495633,-0.5596434178659966,0.6125799856368204,-0.02456022175811104,0.3589598090390438,-0.011676243492690919
OF-MPC pretrained + gate,handoff_calibrated - critic_reset,90.56652862599039,0.5889398860859618,-0.016610888277404395,-1.5879166666666666,0.0,-1.789143959969488,0.0,0.0,5363.106837259597,-5.737156519133949,4.310512207404143,-0.08553596371086786,0.8566093876785636,-0.021606551310116934,0.5889398860859618,-0.016610888277404395
OF-MPC pretrained + gate,handoff_calibrated - low_noise,196.9157467461218,1.526171043537679,-0.025228647983622343,-1.2841666666666667,0.0,-4.049828878614813,-0.0034007124108441644,-2.6928317597985085e-07,66.98468532787933,-0.476905447131715,1142.7955023313148,-2.382930571940253,8.938513078410608,-0.1611592737491597,1.526171043537679,-0.025228647983622343
OF-MPC pretrained + gate,handoff_calibrated - old_noise,2.613242328134631,0.5846416242684205,-0.014405034678782791,-1.9145833333333333,0.0,-2.2290086782862666,20.464997600515108,-0.2554782304391445,10.705337782831851,-0.21190805108987776,4.969031338150618,-0.11190047103634965,0.4795271737949136,-0.013673477092568193,0.5846416242684205,-0.014405034678782791
OF-MPC pretrained no gate,handoff_calibrated - critic_reset,30.466225663545355,-0.06890044763462022,0.0011696295182637428,0.0,-5.1883333333333335,-0.36633367481363877,0.0,0.0,1815.5107130083118,-3.415112531819666,2.4887824414215736,-0.07798472045139421,-0.09580634892274897,0.006498902557142944,-0.06890044763462022,0.0011696295182637428
OF-MPC pretrained no gate,handoff_calibrated - low_noise,10.636780947405434,0.10318813689110229,0.0013637597902035614,0.0,-2.13375,-2.6041837136535815,-0.0034007124108441644,-2.6928317597985085e-07,64.57433866404625,-0.4461027383464161,51.38184247894778,-0.5520434838401793,1.9193881655056648,-0.06071414799895386,0.10318813689110229,0.0013637597902035614
OF-MPC pretrained no gate,handoff_calibrated - old_noise,1.3914360506492862,-0.05518148018289537,0.00262561394509081,0.0,-4.611666666666666,-0.6352361763095571,4.691278308953738,-0.07863069977082998,2.2941716159399164,-0.01691485135998555,6.663437933199139,-0.12568463877173397,0.135059559377253,-0.004944691482483665,-0.05518148018289537,0.00262561394509081
