case,batch,phase,n_episodes,reward_no_penalty,training_reward,fallback_penalty,output_rmse,actual_intervention_rate,diagnostic_unsafe_rate,teacher_gap,handoff_gap,executed_gap
LMPC pretrained + gate,old_noise,BC,20,-28.772233575996275,-28.862904092689625,0.0906705166933505,0.5771195571795148,0.008937500000000003,0.0,0.19662309619407053,,0.0015867714788765951
LMPC pretrained + gate,old_noise,handoff,5,-18.865390885367756,-18.959979059223738,0.09458817385598424,0.4598605081254221,0.00475,0.0,0.21952368747044648,0.35040008471287465,0.005761120031669584
LMPC pretrained + gate,old_noise,early full,50,-10.97212571061915,-11.646804990421044,0.6746792798018931,0.3531881444433151,0.008374999999999999,0.0,,,0.027567373299941078
LMPC pretrained + gate,old_noise,mid full,175,-5.72668648529541,-7.279066989651975,1.552380504356564,0.20208399973265168,0.019185714285714285,0.0,,,0.061675794091750766
LMPC pretrained + gate,old_noise,tail 50,50,-5.078722710425498,-7.0675601250568345,1.9888374146313368,0.17464069562569454,0.04017500000000001,0.0,,,0.09503618872436835
LMPC pretrained + gate,low_noise,BC,20,-12.420579820810927,-12.420579820810927,0.0,0.37725283319496583,0.0,0.0,7.407063806160775e-08,,0.0
LMPC pretrained + gate,low_noise,handoff,5,-103.21529149512028,-103.22352565655895,0.00823416143865588,0.9785644673532516,0.00075,0.0,0.567533402387685,0.7464548903598538,0.0003723852250996934
LMPC pretrained + gate,low_noise,early full,50,-6986.501392195197,-6987.827517057755,1.3261248625584474,3.8462981726537904,0.011025,0.0,,,0.04455430042405462
LMPC pretrained + gate,low_noise,mid full,175,-5.889928047835287,-7.4692021286490125,1.579274080813726,0.21657127149432479,0.021407142857142857,0.0,,,0.06589507092768522
LMPC pretrained + gate,low_noise,tail 50,50,-4.924372401160287,-6.405621115683844,1.4812487145235553,0.1784936318106552,0.028374999999999997,0.0,,,0.06606958305358551
LMPC pretrained + gate,critic_reset,BC,20,-12.422084095845104,-12.422084095845104,0.0,0.37723210729854995,0.0,0.0,0.0009838095758769804,,0.0
LMPC pretrained + gate,critic_reset,handoff,5,-31.198057596031184,-31.25782918555874,0.0597715895275663,0.7121357557915092,0.0024999999999999996,0.0,0.11726838617978465,0.2392582773999961,0.0034322111373816773
LMPC pretrained + gate,critic_reset,early full,50,-6.283982893027975,-6.900321960727337,0.6163390676993618,0.23236906174094007,0.003175,0.0,,,0.01909064464513697
LMPC pretrained + gate,critic_reset,mid full,175,-5.170313545296893,-6.732101350306098,1.5617878050092044,0.18456732681363316,0.023942857142857144,0.0,,,0.06779625685260547
LMPC pretrained + gate,critic_reset,tail 50,50,-5.292140925405343,-7.5444032849007625,2.2522623594954183,0.18310869526926005,0.044225,0.0,,,0.10571653137817939
LMPC pretrained + gate,handoff_calibrated,BC,20,-12.422084364295175,-12.422084364295175,0.0,0.37723211077177754,0.0,0.0,0.0009838094484046656,,0.0
