case,batch,phase,n_episodes,reward_no_penalty,training_reward,fallback_penalty,output_rmse,actual_intervention_rate,diagnostic_unsafe_rate,teacher_gap,handoff_gap,executed_gap
LMPC pretrained + gate,handoff_eps1e3,BC,20,-12.422084095845104,-12.422084095845104,0.0,0.37723210729854995,0.0,0.0,0.0009838095758769804,,0.0
LMPC pretrained + gate,handoff_eps1e3,handoff,10,-14.559817104819919,-14.631888253155244,0.07207114833532766,0.4089437250867368,0.004125,0.0,0.02078523092991709,0.00999483604067238,0.003010108206565698
LMPC pretrained + gate,handoff_eps1e3,early full,50,-6.892947007951541,-7.868993015335451,0.9760460073839089,0.243429569510795,0.009375000000000001,0.0,,,0.036854013707872835
LMPC pretrained + gate,handoff_eps1e3,mid full,170,-5.165338267520672,-6.971554454776201,1.8062161872555274,0.18163697617178146,0.029705882352941176,0.0,,,0.08261744582326237
LMPC pretrained + gate,handoff_eps1e3,tail 50,50,-5.148774883642833,-7.384767870893799,2.2359929872509663,0.17973101514350745,0.047799999999999995,0.0,,,0.11323821579531614
LMPC pretrained no gate,handoff_eps1e3,BC,20,-12.4230483761464,-12.4230483761464,0.0,0.37725577202651184,0.0,0.0,0.0009838104583882463,,0.0
LMPC pretrained no gate,handoff_eps1e3,handoff,10,-12.657727187948035,-12.657727187948035,0.0,0.3813101181913326,0.0,0.018125,0.016624599790064278,0.008730793155678535,0.0
LMPC pretrained no gate,handoff_eps1e3,early full,50,-6.504714542888931,-6.504714542888931,0.0,0.2360449483275186,0.0,0.011475000000000003,,,0.0
LMPC pretrained no gate,handoff_eps1e3,mid full,170,-4.186491929425905,-4.186491929425905,0.0,0.16353086583475704,0.0,0.08287499999999999,,,0.0
LMPC pretrained no gate,handoff_eps1e3,tail 50,50,-3.927130519744209,-3.927130519744209,0.0,0.15597952849701036,0.0,0.07404999999999999,,,0.0
OF-MPC pretrained + gate,handoff_eps1e3,BC,20,-12.4230483761464,-12.4230483761464,0.0,0.37725577202651184,0.0,0.0,0.0009838104583882463,,0.0
OF-MPC pretrained + gate,handoff_eps1e3,handoff,10,-17.05992657212341,-17.356550819080823,0.2966242469574162,0.4296505494214989,0.006625000000000001,0.0,0.018670494717449023,0.010308513667039804,0.009470649802427199
OF-MPC pretrained + gate,handoff_eps1e3,early full,50,-5.85926122732734,-6.52213351993517,0.6628722926078288,0.23082002808046476,0.007300000000000002,0.0,,,0.026467794272780537
OF-MPC pretrained + gate,handoff_eps1e3,mid full,170,-5.327311411360013,-7.264939680311275,1.937628268951263,0.18621235247580162,0.031639705882352945,0.0,,,0.08624142505955805
OF-MPC pretrained + gate,handoff_eps1e3,tail 50,50,-4.929187585174285,-6.789047437769884,1.859859852595601,0.17595259993042767,0.043024999999999994,0.0,,,0.09199564599258214
OF-MPC pretrained no gate,handoff_eps1e3,BC,20,-12.4230483761464,-12.4230483761464,0.0,0.37725577202651184,0.0,0.0,0.0009838104583882463,,0.0
OF-MPC pretrained no gate,handoff_eps1e3,handoff,10,-12.682984319231394,-12.682984319231394,0.0,0.38181064716470614,0.0,0.01775,0.01659760945086011,0.008665318348463628,0.0
OF-MPC pretrained no gate,handoff_eps1e3,early full,50,-6.582891357714475,-6.582891357714475,0.0,0.2143444639216474,0.0,0.004700000000000001,,,0.0
OF-MPC pretrained no gate,handoff_eps1e3,mid full,170,-4.300213398067441,-4.300213398067441,0.0,0.16808471227021685,0.0,0.07285294117647059,,,0.0
OF-MPC pretrained no gate,handoff_eps1e3,tail 50,50,-4.0914109708670425,-4.0914109708670425,0.0,0.1596806280476137,0.0,0.08965000000000002,,,0.0
