case,batch,batch_label,run_dir,n_steps,n_episodes,episode_len,initial_agent,teacher_source,safety_gate,target_selector_variant,rho_lyap,lyap_eps,pretrained_critic_reset,critic_loaded_from_checkpoint,bc_noise,bc_std,handoff_std_end,full_std_start,mean_reward_no_penalty,mean_training_reward,mean_fallback_penalty,summary_output_rmse_mean,tail50_reward_no_penalty,tail50_training_reward,tail50_output_rmse_mean,actual_intervention_rate,diagnostic_unsafe_rate,accepted_rate,fallback_verified_rate,mean_abs_du_phys,max_abs_du_phys,teacher_gap_mean,handoff_gap_mean,executed_gap_mean,worst_episode,worst_reward_no_penalty,worst_output_rmse_mean
LMPC pretrained + gate,old_noise,"bounded mixed, no reset, BC std 0.02",results/OnlineTD3_LMPCPretrained_SafetyGate/20260611_000544,240000,300,800,lmpc_pretrained_td3_20260610_173834.pkl,direct_lyapunov_mpc,True,bounded_mixed_u0p1_x0p1,0.99,0.001,,,gaussian,0.02,,0.02,-8.248280606418978,-9.605376520376335,1.3570959139573573,,-5.078722710425498,-7.0675601250568345,0.17464069562569454,0.019958333333333335,0.0,0.998025,0.017983333333333334,8.760140139748396,628.4045069087857,0.20120321444934572,0.35040008471287465,0.05661327699002579,1,-54.60544631288729,0.8581660568374501
LMPC pretrained + gate,low_noise,"bounded mixed, no reset, BC std 0",results/OnlineTD3_LMPCPretrained_SafetyGate/20260612_011534,240000,300,800,lmpc_pretrained_td3_20260611_231823.pkl,direct_lyapunov_mpc,True,bounded_mixed_u0p1_x0p1,0.99,0.001,,,none,0.0,0.005,0.02,-1171.2217123069358,-1172.6109883529487,1.3892760460123181,,-4.924372401160287,-6.405621115683844,0.1784936318106552,0.019066666666666666,0.0,0.9981333333333333,0.0172,11.150174671458899,789.567412185669,0.11350673973404744,0.7464548903598538,0.056882311707841395,30,-202483.5090209741,72.75881488741723
LMPC pretrained + gate,critic_reset,"bounded mixed, critic reset, BC std 1e-4",results/OnlineTD3_LMPCPretrained_SafetyGate/20260612_130549,240000,300,800,lmpc_pretrained_td3_20260611_231823.pkl,direct_lyapunov_mpc,True,bounded_mixed_u0p1_x0p1,0.99,0.001,True,False,gaussian,0.0001,0.005,0.02,-6.293476770818934,-7.683616088098893,1.3901393172799585,,-5.292140925405343,-7.5444032849007625,0.18310869526926005,0.021908333333333332,0.0,0.9980458333333333,0.019954166666666665,7.884896782383694,664.3857382774353,0.024240724896658516,0.2392582773999961,0.06040621602019562,22,-90.58599988837932,1.5210340737340944
LMPC pretrained no gate,old_noise,"bounded mixed, no reset, BC std 0.02",results/OnlineTD3_LMPCPretrained_NoSafetyGate/20260611_000541,240000,300,800,lmpc_pretrained_td3_20260610_173834.pkl,offset_free_mpc,False,bounded_mixed_u0p1_x0p1,0.99,0.001,,,gaussian,0.02,,0.02,-70.24651174318332,-70.24651174318332,0.0,,-4.286090328783253,-4.286090328783253,0.16765577198970127,0.0,0.024845833333333334,1.0,0.0,7.098986129328949,798.4,0.1923776984889012,0.20646713618334286,0.0,49,-18326.96900586921,21.96722766450806
LMPC pretrained no gate,low_noise,"bounded mixed, no reset, BC std 0",results/OnlineTD3_LMPCPretrained_NoSafetyGate/20260612_011530,240000,300,800,lmpc_pretrained_td3_20260611_231823.pkl,offset_free_mpc,False,bounded_mixed_u0p1_x0p1,0.99,0.001,,,none,0.0,0.005,0.02,-147.06118979832726,-147.06118979832726,0.0,,-4.093965687035875,-4.093965687035875,0.15966651830619985,0.0,0.03172916666666667,1.0,0.0,9.079837682741575,796.8853342533112,0.0780804685841001,0.5614832911473244,0.0,31,-30239.374708110965,28.2471999564032
LMPC pretrained no gate,critic_reset,"bounded mixed, critic reset, BC std 1e-4",results/OnlineTD3_LMPCPretrained_NoSafetyGate/20260612_130546,240000,300,800,lmpc_pretrained_td3_20260611_231823.pkl,offset_free_mpc,False,bounded_mixed_u0p1_x0p1,0.99,0.001,True,False,gaussian,0.0001,0.005,0.02,-5.248562648015761,-5.248562648015761,0.0,,-3.980275311094847,-3.980275311094847,0.15513817548741546,0.0,0.06438333333333333,1.0,0.0,5.725334019617023,624.174488067627,0.019692088337978163,0.21241264177369623,0.0,22,-71.93776057224508,1.3392811442268682
OF-MPC pretrained + gate,old_noise,"bounded mixed, no reset, BC std 0.02",results/OnlineTD3_OFMPCPretrained_SafetyGate/20260611_000552,240000,300,800,of_mpc_pretrained_td3_20260610_153921.pkl,offset_free_mpc,True,bounded_mixed_u0p1_x0p1,0.99,0.001,,,gaussian,0.02,,0.02,-8.216580367793757,-9.411153928850576,1.1945735610568207,,-4.902748224655667,-6.345624158390455,0.17692106684556944,0.024070833333333333,0.0,0.9987166666666667,0.0227875,8.406631857422521,738.8023460799038,0.18771834796877782,0.2049861820702527,0.05613116378975186,17,-51.66291686184491,0.8538372491835111
OF-MPC pretrained + gate,low_noise,"bounded mixed, no reset, BC std 0",results/OnlineTD3_OFMPCPretrained_SafetyGate/20260612_011542,240000,300,800,of_mpc_pretrained_td3_20260610_153921.pkl,offset_free_mpc,True,bounded_mixed_u0p1_x0p1,0.99,0.001,,,none,0.0,0.005,0.02,-202.51908478578093,-203.82690244687754,1.3078176610966161,,-5.844277643924926,-8.723679920511856,0.187744680150409,0.017766666666666667,0.0,0.999475,0.017241666666666666,10.227452057751067,793.2451111316681,0.0358618249478571,0.43400669478910764,0.05190367232849944,54,-15055.244377782776,19.89112257730403
OF-MPC pretrained + gate,critic_reset,"bounded mixed, critic reset, BC std 1e-4",results/OnlineTD3_OFMPCPretrained_SafetyGate/20260612_130557,240000,300,800,of_mpc_pretrained_td3_20260610_153921.pkl,offset_free_mpc,True,bounded_mixed_u0p1_x0p1,0.99,0.001,True,False,gaussian,0.0001,0.005,0.02,-96.16986666564951,-97.47120622417975,1.3013395585302743,,-4.907046486473209,-6.492025754191552,0.17912692044419104,0.020804166666666665,0.0,0.9969458333333333,0.01775,7.966767139105743,789.2008582527901,0.10096270056986215,0.47772530985561545,0.05492337978982945,23,-26625.317857927825,26.44972771879486
OF-MPC pretrained no gate,old_noise,"bounded mixed, no reset, BC std 0.02",results/OnlineTD3_OFMPCPretrained_NoSafetyGate/20260611_000548,240000,300,800,of_mpc_pretrained_td3_20260610_153921.pkl,offset_free_mpc,False,bounded_mixed_u0p1_x0p1,0.99,0.001,,,gaussian,0.02,,0.02,-6.858243400035228,-6.858243400035228,0.0,,-4.036229490684147,-4.036229490684147,0.1570550141025229,0.0,0.04965833333333333,1.0,0.0,6.334427926621108,442.21832032203673,0.18440208028785687,0.1577439298899774,0.0,36,-205.9070350219682,1.9230662580608604
